"survey","tmean_year","tmean_winter","tmean_breeding","prec_year","prec_winter","prec_breeding","hh","unique","LULC_0","LULC_11","LULC_22","LULC_33","LULC_44","LULC_55","LULC_66","LULC_77"
"AE90_1",8.71360594522083,2.20148904802051,8.54709837398701,640.900233089062,154.120801431874,129.311665854756,0.495336796858299,4,0.666455108232159,0.0487093341805405,0,0.23612622340676,0,0,0,0.0487093341805405
"AE91_1",8.70603895328267,2.19260019467325,8.54896489685768,643.57358303598,154.653477381381,129.674978889497,0.331416580006577,4,0.807882877651956,0.0243546670900876,0,0.108815195264116,0,0,0,0.0589472599938402
"AE92_1",8.6889791163512,2.15774748898385,8.54051369407445,645.032166438468,154.711359238783,130.12621253508,0.240935681491997,4,0.862828183756253,0,0,0.0864679789863957,0,0.0486862810965424,0,0.00201755616080884
"AE93_1",8.67334789317847,2.12815684747918,8.52242180386939,652.227891671395,156.358767471883,131.322362343124,0.621691950187603,5,0.527568902543729,0,0.164776611581978,0.267973353628069,0,0.0184453502582338,0,0.0212357819879909
"AE94_1",8.65916906563411,2.11848197252989,8.51371379896814,658.408967045222,157.567936052401,132.596517577008,0.756679131484106,6,0.0695085987243568,0.0730640012684725,0.245253799657739,0.375251820547168,0,0.0730640012684725,0,0.163857778533791
"AE95_1",8.6569669920513,2.10931734597168,8.5168810188315,660.423671586636,157.883163158607,132.909869287577,0.732970374468581,5,0.153950069243348,0,0.404580547734799,0.2047691509229,0,0.0487093341811538,0,0.187990897917799
"AE96_1",8.63386562303093,2.09171431058108,8.49797003164103,667.10790788552,159.519984582898,134.024450716166,0.761504054704857,6,0.31865411933542,0.0232868478271317,0.19904061933138,0.237909668925871,0,0.196754077490452,0,0.0243546670897447
"AE97_1",8.59486260754377,2.06076087168726,8.45987645164354,684.420175244183,163.774883493353,137.514326170635,0.768620653373905,6,0.234590484599774,0.0334407731488741,0.0474534900703358,0.294391643590816,0.265663485452003,0.124460123138197,0,0
"AE98_1",8.61698908671497,2.09069240023991,8.47879870646434,673.135704849782,161.164968271351,135.143847071318,0.736490545700444,6,0.378720762909835,0.036043720626647,0,0.280608480392262,0.177647357173422,0.0585630043599876,0,0.0684166745378464
"AE99_1",8.6359818045092,2.14903204574439,8.49087647405082,673.049866692662,161.314319595657,135.317634656261,0.25982088953672,4,0.855593202455727,0,0,0.0469881291861519,0,0.0243546670895302,0,0.0730640012685907
"AF81_1",8.86438895495022,2.62540253916545,8.52129170899646,626.658689603452,149.971893158529,127.527184552289,0.542041051569938,4,0.620574202480835,0,0,0.233454083847035,0,0.0851631910489606,0,0.0608085226231695
"AF82_1",8.8479214045448,2.58276623843116,8.52620434496228,627.244237750244,150.536913040768,127.293445417597,0.364014863454494,3,0.768508775964087,0,0,0.211848399256095,0,0.0196428247798178,0,0
"AF90_1",8.86823003131832,2.54185294304796,8.55983790526081,614.202590623271,147.68467620649,124.427680196568,0.100895230182079,3,0.947453881511191,0,0,0.0210116457851128,0,0.0315344727036963,0,0
"AF91_1",8.82716942259905,2.50402356430206,8.51953995971227,625.908635836038,150.649713199144,126.86610741572,0.485432138107201,5,0.048515392319355,0,0,0.676821502493962,0.155321044167828,0.107086579036576,0,0.0122554819822801
"AF92_1",8.80943736975581,2.46432065302431,8.51867831318454,626.039161637101,150.579875334421,126.653111471449,0.440558857035078,3,0,0,0,0.696897430094562,0.128780239979252,0.174322329926185,0,0
"AF93_1",8.79199908984635,2.43249796641106,8.51470698167725,632.712290349454,152.33788564461,127.835317930828,0.456261358047516,4,0.0971913647341833,0,0,0.701720201338416,0.0806025310869514,0.12048590284045,0,0
