atlas,period,survey,site,X,Y,variable,variable_label,n_species_contributing,expected_richness,positive_importance,negative_importance,total_importance,net_score,direction_balance,total_site_importance,relative_importance_at_site
1,1970s,CC68_1,CC68,532499.7119922304,6342499.6483931905,perc_grass_shrub,Grass/Shrubland (% coverage),157,43.992195160422924,1.266738038668127e-4,1.3638032125731374e-4,2.630541251241265e-4,-9.706517390500977e-6,-0.036899316389434285,0.018105309803476757,0.01452911482760777
1,1970s,CC68_1,CC68,532499.7119922304,6342499.6483931905,perc_pasture,Pasture (% coverage),157,43.992195160422924,2.3406302614694036e-4,3.0050058104623677e-5,2.641130842515641e-4,2.0401296804231666e-4,0.7724455174965776,0.018105309803476757,0.014587603698493276
1,1970s,CC68_1,CC68,532499.7119922304,6342499.6483931905,perc_urban,Urban (% coverage),157,43.992195160422924,0.0018654183759300089,4.605247582768205e-4,0.002325943134206827,0.001404893617653188,0.604010303172039,0.018105309803476757,0.12846745841157475
1,1970s,CC68_1,CC68,532499.7119922304,6342499.6483931905,prec_breeding,Precipitation,157,43.992195160422924,2.538479141918034e-4,0.001543154915942022,0.0017970028301338258,-0.001289307001750218,-0.7174763334425027,0.018105309803476757,0.09925280758182596
1,1970s,CC68_1,CC68,532499.7119922304,6342499.6483931905,tmean_breeding,Temperature,157,43.992195160422924,0.0020232448442835493,1.5086252937434463e-4,0.0021741073736578943,0.0018723823149092047,0.8612188788812933,0.018105309803476757,0.12008120254536607
1,1970s,CC70_1,CC70,537499.842333892,6302499.772919597,hh,Land-use heterogeneity,157,70.58177005146939,6.510766979373195e-4,3.166690378193951e-5,6.82743601719259e-4,6.1940979415538e-4,0.90723632209164,0.016438928516460376,0.04153212303561176
1,1970s,CC70_1,CC70,537499.842333892,6302499.772919597,perc_cropland,Cropland (% coverage),157,70.58177005146939,0.002467161838778936,4.3953929012065484e-4,0.0029067011288995905,0.0020276225486582805,0.6975682943453809,0.016438928516460376,0.17681816220498173
1,1970s,CC70_1,CC70,537499.842333892,6302499.772919597,perc_forest,Forest (% coverage),157,70.58177005146939,0.0065804380557765345,1.8730310301164012e-4,0.006767741158788174,0.006393134952764893,0.944648266351493,0.016438928516460376,0.41168991957180195
1,1970s,CC70_1,CC70,537499.842333892,6302499.772919597,perc_grass_shrub,Grass/Shrubland (% coverage),157,70.58177005146939,1.4093540323267402e-4,3.62130142729599e-5,1.7714841750563393e-4,1.047223889597141e-4,0.5911562204973329,0.016438928516460376,0.010776153526566794
1,1970s,CC70_1,CC70,537499.842333892,6302499.772919597,perc_pasture,Pasture (% coverage),157,70.58177005146939,1.3478533624121448e-4,3.412920996677362e-5,1.6891454620798814e-4,1.0065612627444088e-4,0.5958996932715362,0.016438928516460376,0.01027527712885017
1,1970s,CC70_1,CC70,537499.842333892,6302499.772919597,perc_urban,Urban (% coverage),157,70.58177005146939,0.001890403744473547,2.100887235424756e-4,0.002100492468016023,0.0016803150209310713,0.7999624119186576,0.016438928516460376,0.1277755095724633
