atlas,period,base_site,survey,trait_family,trait_value,n_species,trait_probability,expected_group_richness,expected_total_richness,site,X,Y
1,1970s,DC43,DC43_1,Thermal,CWM STI,157,11.991052817081188,NA,40.31132961888504,DC43,572499.74222273,6317499.962513002
1,1970s,DC45,DC45_1,Thermal,CWM STI,157,12.071726729597057,NA,36.46743083503552,DC45,572499.6797881541,6327499.928359153
1,1970s,BD31,BD31_1,Thermal,CWM STI,157,12.021213720605614,NA,44.691541501516376,BD31,467500.0543298067,6257499.600372754
1,1970s,DC48,DC48_1,Thermal,CWM STI,157,12.137986868430117,NA,40.651312810971255,DC48,572499.603288505,6342499.944623605
1,1970s,DC49,DC49_1,Thermal,CWM STI,157,12.145446639607512,NA,41.07622250586605,DC49,572499.6280012622,6347499.879714389
1,1970s,DC50,DC50_1,Thermal,CWM STI,157,12.086905700958699,NA,41.49652105931603,DC50,577499.8267759397,6302500.006971771
1,1970s,DC51,DC51_1,Thermal,CWM STI,157,11.834718797353862,NA,35.85141487559272,DC51,577499.8137447787,6307500.007805302
1,1970s,DC52,DC52_1,Thermal,CWM STI,157,11.963297172434862,NA,20.133628757120363,DC52,577499.834045176,6312500.04834203
1,1970s,DC53,DC53_1,Thermal,CWM STI,157,11.9318690220877,NA,56.713774903710174,DC53,577499.7670313121,6317500.014979401
1,1970s,BD32,BD32_1,Thermal,CWM STI,157,12.007068333586226,NA,35.51008608310488,BD32,467500.06232946395,6262499.710226541
1,1970s,DC56,DC56_1,Thermal,CWM STI,157,12.08380185614579,NA,39.335116270364,DC56,577499.6899038834,6332500.0401362395
1,1970s,DC57,DC57_1,Thermal,CWM STI,157,12.154751522439687,NA,47.51568266907663,DC57,577499.6237474973,6337499.940236413
1,1970s,DC58,DC58_1,Thermal,CWM STI,157,12.136396795372265,NA,47.47286329058343,DC58,577499.5821444269,6342499.991146208
1,1970s,DC59,DC59_1,Thermal,CWM STI,157,12.118122333141363,NA,40.71688779874274,DC59,577499.5701581707,6347499.85890772
1,1970s,DC64,DC64_1,Thermal,CWM STI,157,11.961577891187671,NA,26.237741882942725,DC64,582499.7765719168,6322500.023200316
1,1970s,DC65,DC65_1,Thermal,CWM STI,157,11.981150728310054,NA,44.57412510760016,DC65,582499.6844180265,6327500.009486454
1,1970s,DC69,DC69_1,Thermal,CWM STI,157,12.153231005959208,NA,46.68157728536819,DC69,582499.5463454451,6347499.907984794
1,1970s,DC79,DC79_1,Thermal,CWM STI,157,12.109344354381204,NA,43.36483100012049,DC79,587499.5162126686,6347499.914135292
1,1970s,DC89,DC89_1,Thermal,CWM STI,157,11.964469730614484,NA,42.87522098568666,DC89,592499.4952561076,6347499.988268283
1,1970s,DD00,DD00_1,Thermal,CWM STI,157,12.1633698863835,NA,44.86968907879884,DD00,552499.8856748668,6252499.714341889
1,1970s,DD01,DD01_1,Thermal,CWM STI,157,12.101636527456357,NA,68.50524677406274,DD01,552499.8788040339,6257499.789576381
