atlas,period,response,survey,site,base_site,X,Y,value
1,1970s,richness,DC34_1,DC34,DC34,567499.7138947316,6322499.9609747855,37.71068723609087
1,1970s,richness,DC35_1,DC35,DC35,567499.7056084871,6327499.930768742,39.06026932118189
1,1970s,richness,DC36_1,DC36,DC36,567499.7009201018,6332499.938928539,41.91996999415587
1,1970s,richness,DC37_1,DC37,DC37,567499.6402083595,6337499.873123914,42.10747477119141
1,1970s,richness,DC39_1,DC39,DC39,567499.6437902323,6347499.858365299,35.60509393895092
1,1970s,richness,DC40_1,DC40,DC40,572499.8148650045,6302499.969526697,66.51988549818836
1,1970s,richness,DC41_1,DC41,DC41,572499.821296516,6307499.929013042,56.40720605047949
1,1970s,richness,DC42_1,DC42,DC42,572499.8176624437,6312499.927039073,64.5533843463598
1,1970s,richness,DC43_1,DC43,DC43,572499.74222273,6317499.962513002,40.31132961888504
1,1970s,richness,DC45_1,DC45,DC45,572499.6797881541,6327499.928359153,36.46743083503552
1,1970s,richness,BD31_1,BD31,BD31,467500.0543298067,6257499.600372754,44.691541501516376
1,1970s,richness,DC48_1,DC48,DC48,572499.603288505,6342499.944623605,40.651312810971255
1,1970s,richness,DC49_1,DC49,DC49,572499.6280012622,6347499.879714389,41.07622250586605
1,1970s,richness,DC50_1,DC50,DC50,577499.8267759397,6302500.006971771,41.49652105931603
1,1970s,richness,DC51_1,DC51,DC51,577499.8137447787,6307500.007805302,35.85141487559272
1,1970s,richness,DC52_1,DC52,DC52,577499.834045176,6312500.04834203,20.133628757120363
1,1970s,richness,DC53_1,DC53,DC53,577499.7670313121,6317500.014979401,56.713774903710174
1,1970s,richness,BD32_1,BD32,BD32,467500.06232946395,6262499.710226541,35.51008608310488
1,1970s,richness,DC56_1,DC56,DC56,577499.6899038834,6332500.0401362395,39.335116270364
1,1970s,richness,DC57_1,DC57,DC57,577499.6237474973,6337499.940236413,47.51568266907663
1,1970s,richness,DC58_1,DC58,DC58,577499.5821444269,6342499.991146208,47.47286329058343
1,1970s,richness,DC59_1,DC59,DC59,577499.5701581707,6347499.85890772,40.71688779874274
1,1970s,richness,DC64_1,DC64,DC64,582499.7765719168,6322500.023200316,26.237741882942725
1,1970s,richness,DC65_1,DC65,DC65,582499.6844180265,6327500.009486454,44.57412510760016
1,1970s,richness,DC69_1,DC69,DC69,582499.5463454451,6347499.907984794,46.68157728536819
1,1970s,richness,DC79_1,DC79,DC79,587499.5162126686,6347499.914135292,43.36483100012049
1,1970s,richness,DC89_1,DC89,DC89,592499.4952561076,6347499.988268283,42.87522098568666
1,1970s,richness,DD00_1,DD00,DD00,552499.8856748668,6252499.714341889,44.86968907879884
1,1970s,richness,DD01_1,DD01,DD01,552499.8788040339,6257499.789576381,68.50524677406274
1,1970s,richness,DD02_1,DD02,DD02,552499.8180619746,6262499.790504193,50.27953878145275
1,1970s,richness,DD03_1,DD03,DD03,552499.8245235039,6267499.829924205,49.11939345451945
1,1970s,richness,DD04_1,DD04,DD04,552499.8372124677,6272499.79574306,47.667699415084655
1,1970s,richness,DD05_1,DD05,DD05,552499.7926802624,6277499.7984718,66.68599709807656
1,1970s,richness,DD06_1,DD06,DD06,552499.8129379287,6282499.83961058,46.797805350373885
1,1970s,richness,DD07_1,DD07,DD07,552499.8372333928,6287499.807062139,43.14344332981768
1,1970s,richness,DD08_1,DD08,DD08,552499.8023283664,6292499.811338297,58.58261444033941
1,1970s,richness,DD09_1,DD09,DD09,552499.8297948928,6297499.853941188,75.75872835703649
1,1970s,richness,DD10_1,DD10,DD10,557499.856180533,6252499.733037651,53.26812652659122
1,1970s,richness,DD11_1,DD11,DD11,557499.8762522964,6257499.80687196,77.17257040464558
1,1970s,richness,BD35_1,BD35,BD35,467500.0749060298,6277499.704398919,42.02722825763121
1,1970s,richness,DD12_1,DD12,DD12,557499.8255147779,6262499.806363893,66.67696356862886
1,1970s,richness,DD13_1,DD13,DD13,557499.8249050891,6267499.844455846,42.86998838534929
1,1970s,richness,DD14_1,DD14,DD14,557499.8135712934,6272499.808981645,43.39970132831648
1,1970s,richness,DD16_1,DD16,DD16,557499.812499,6282499.851962599,65.7151358700921
