"atlas","period","species","occupied_surveys","total_surveys","occupancy_proportion"
"2","1990s","Linaria_cannabina",1994,2165,0.921016166281755
"2","1990s","Locustella_fluviatilis",12,2165,0.00554272517321016
"2","1990s","Locustella_luscinioides",22,2165,0.010161662817552
"2","1990s","Locustella_naevia",422,2165,0.194919168591224
"2","1990s","Lophophanes_cristatus",860,2165,0.397228637413395
"2","1990s","Loxia_curvirostra",439,2165,0.202771362586605
"2","1990s","Lullula_arborea",149,2165,0.0688221709006928
"2","1990s","Luscinia_luscinia",1144,2165,0.528406466512702
"2","1990s","Luscinia_svecica",4,2165,0.00184757505773672
"2","1990s","Motacilla_alba",2017,2165,0.931639722863741
"2","1990s","Motacilla_cinerea",326,2165,0.150577367205543
"2","1990s","Motacilla_flava",379,2165,0.175057736720554
"2","1990s","Muscicapa_striata",1056,2165,0.487759815242494
"2","1990s","Nucifraga_caryocatactes",21,2165,0.00969976905311778
"2","1990s","Oenanthe_oenanthe",273,2165,0.126096997690531
"2","1990s","Oriolus_oriolus",66,2165,0.0304849884526559
"2","1990s","Panurus_biarmicus",82,2165,0.0378752886836028
"2","1990s","Parus_major",2064,2165,0.953348729792148
"2","1990s","Passer_domesticus",1949,2165,0.900230946882217
"2","1990s","Passer_montanus",1902,2165,0.878521939953811
"2","1990s","Periparus_ater",1470,2165,0.678983833718245
"2","1990s","Phoenicurus_ochruros",467,2165,0.215704387990762
"2","1990s","Phoenicurus_phoenicurus",1197,2165,0.552886836027714
"2","1990s","Phylloscopus_collybita",1852,2165,0.855427251732102
"2","1990s","Phylloscopus_sibilatrix",676,2165,0.312240184757506
"2","1990s","Phylloscopus_trochiloides",8,2165,0.00369515011547344
"2","1990s","Phylloscopus_trochilus",2021,2165,0.933487297921478
"2","1990s","Pica_pica",1731,2165,0.799538106235566
"2","1990s","Poecile_montanus",38,2165,0.0175519630484988
"2","1990s","Poecile_palustris",1085,2165,0.501154734411085
"2","1990s","Prunella_modularis",1820,2165,0.840646651270208
"2","1990s","Pyrrhula_pyrrhula",1043,2165,0.48175519630485
"2","1990s","Regulus_ignicapilla",27,2165,0.0124711316397229
"2","1990s","Regulus_regulus",1530,2165,0.706697459584296
"2","1990s","Remiz_pendulinus",91,2165,0.0420323325635104
"2","1990s","Riparia_riparia",753,2165,0.347806004618938
"2","1990s","Saxicola_rubetra",930,2165,0.429561200923788
"2","1990s","Saxicola_rubicola",15,2165,0.0069284064665127
"2","1990s","Serinus_serinus",20,2165,0.0092378752886836
"2","1990s","Sitta_europaea",958,2165,0.442494226327945
"2","1990s","Spinus_spinus",331,2165,0.152886836027714
"2","1990s","Sturnus_vulgaris",2026,2165,0.935796766743649
"2","1990s","Sylvia_atricapilla",1881,2165,0.868822170900693
"2","1990s","Sylvia_borin",1837,2165,0.848498845265589
"2","1990s","Troglodytes_troglodytes",2033,2165,0.939030023094688
"2","1990s","Turdus_iliacus",2,2165,0.00092378752886836
"2","1990s","Turdus_merula",2109,2165,0.974133949191686
"2","1990s","Turdus_philomelos",1918,2165,0.885912240184758
"2","1990s","Turdus_pilaris",390,2165,0.18013856812933
"2","1990s","Turdus_viscivorus",1018,2165,0.470207852193995
"2","1990s","Ardea_cinerea",234,2165,0.108083140877598
"2","1990s","Botaurus_stellaris",69,2165,0.0318706697459584
"2","1990s","Platalea_leucorodia",2,2165,0.00092378752886836
"2","1990s","Dendrocopos_major",1570,2165,0.725173210161663
"2","1990s","Dryobates_minor",52,2165,0.0240184757505774
"2","1990s","Dryocopus_martius",171,2165,0.0789838337182448
"2","1990s","Jynx_torquilla",100,2165,0.046189376443418
"2","1990s","Picus_viridis",452,2165,0.208775981524249
"2","1990s","Podiceps_cristatus",567,2165,0.26189376443418
"2","1990s","Podiceps_grisegena",532,2165,0.245727482678984
"2","1990s","Podiceps_nigricollis",54,2165,0.0249422632794457
"2","1990s","Tachybaptus_ruficollis",668,2165,0.308545034642032
"2","1990s","Aegolius_funereus",2,2165,0.00092378752886836
"2","1990s","Asio_flammeus",15,2165,0.0069284064665127
"2","1990s","Asio_otus",677,2165,0.31270207852194
"2","1990s","Athene_noctua",110,2165,0.0508083140877598
"2","1990s","Bubo_bubo",28,2165,0.012933025404157
"2","1990s","Strix_aluco",898,2165,0.414780600461894
"2","1990s","Tyto_alba",42,2165,0.0193995381062356
"2","1990s","Phalacrocorax_carbo",52,2165,0.0240184757505774
"3","2010s","Accipiter_nisus",751,2165,0.346882217090069
"3","2010s","Aquila_chrysaetos",5,2165,0.0023094688221709
"3","2010s","Astur_gentilis",438,2165,0.202309468822171
"3","2010s","Buteo_buteo",1627,2165,0.751501154734411
"3","2010s","Circus_aeruginosus",681,2165,0.314549653579677
"3","2010s","Circus_pygargus",34,2165,0.0157043879907621
"3","2010s","Haliaeetus_albicilla",111,2165,0.051270207852194
"3","2010s","Milvus_milvus",274,2165,0.126558891454965
"3","2010s","Pandion_haliaetus",6,2165,0.00277136258660508
"3","2010s","Pernis_apivorus",313,2165,0.144572748267898
"3","2010s","Anas_acuta",21,2165,0.00969976905311778
"3","2010s","Anas_crecca",61,2165,0.028175519630485
"3","2010s","Anas_platyrhynchos",1627,2165,0.751501154734411
"3","2010s","Anser_anser",1109,2165,0.512240184757506
"3","2010s","Aythya_ferina",157,2165,0.0725173210161663
"3","2010s","Aythya_fuligula",331,2165,0.152886836027714
"3","2010s","Branta_leucopsis",20,2165,0.0092378752886836
"3","2010s","Bucephala_clangula",49,2165,0.0226327944572748
"3","2010s","Cygnus_cygnus",11,2165,0.00508083140877598
"3","2010s","Cygnus_olor",1164,2165,0.537644341801386
"3","2010s","Mareca_penelope",1,2165,0.00046189376443418
"3","2010s","Mareca_strepera",183,2165,0.084526558891455
"3","2010s","Mergus_merganser",80,2165,0.0369515011547344
