species,variable,variable_label,period_from,weighted_beta_from,standardized_beta_from,prob_positive_from,support_state_from,period_to,weighted_beta_to,standardized_beta_to,prob_positive_to,support_state_to,atlas_from,atlas_to,transition,delta_weighted_beta,abs_delta_weighted_beta,delta_standardized_beta,abs_delta_standardized_beta,support_state_switch,supported_sign_flip,large_jump_cutoff,predictor_large_jump
Vanellus_vanellus,perc_cropland,Cropland,1970s,0.2857797430326195,0.2863524479284765,0.999,Supported positive,1990s,0.4453055905318781,0.4453055905318781,1,Supported positive,1,2,1970s to 1990s,0.15952584749925863,0.15952584749925863,0.15895314260340165,0.15895314260340165,FALSE,FALSE,0.1398968467719789,TRUE
Vanellus_vanellus,perc_pasture,Pasture,1970s,0.12195272505254616,0.1300135661541004,0.969,Supported positive,1990s,0.08404061568473058,0.09637685284946167,0.936,Unsupported,1,2,1970s to 1990s,-0.03791210936781558,0.03791210936781558,-0.03363671330463873,0.03363671330463873,TRUE,FALSE,0.1398968467719789,FALSE
Vanellus_vanellus,perc_forest,Forest,1970s,0.06955890721246817,0.08630137371273966,0.903,Unsupported,1990s,0.00385038764875429,0.01734408850790221,0.611,Unsupported,1,2,1970s to 1990s,-0.06570851956371387,0.06570851956371387,-0.06895728520483745,0.06895728520483745,FALSE,FALSE,0.1398968467719789,FALSE
Vanellus_vanellus,perc_grass_shrub,Grass/Shrubland,1970s,0.016101324946641855,0.03470113135052124,0.732,Unsupported,1990s,0.02749781031727967,0.047739254023054976,0.788,Unsupported,1,2,1970s to 1990s,0.011396485370637813,0.011396485370637813,0.013038122672533736,0.013038122672533736,FALSE,FALSE,0.1398968467719789,FALSE
Columba_oenas,tmean_breeding,Temperature,1970s,0.19809983634527933,0.20549775554489558,0.982,Supported positive,1990s,0.0922321832181422,0.10202675134750244,0.952,Supported positive,1,2,1970s to 1990s,-0.10586765312713714,0.10586765312713714,-0.10347100419739313,0.10347100419739313,FALSE,FALSE,0.1398968467719789,FALSE
Columba_oenas,prec_breeding,Precipitation,1970s,-0.23927056197046698,-0.24120016327668042,0.004,Supported negative,1990s,-0.19127315292793723,-0.19127315292793723,0,Supported negative,1,2,1970s to 1990s,0.04799740904252975,0.04799740904252975,0.049927010348743195,0.049927010348743195,FALSE,FALSE,0.1398968467719789,FALSE
Columba_oenas,hh,Land-use heterogeneity,1970s,0.028713600963326983,0.0621506514357727,0.731,Unsupported,1990s,0.17201577880177524,0.17410503927305185,0.994,Supported positive,1,2,1970s to 1990s,0.14330217783844826,0.14330217783844826,0.11195438783727915,0.11195438783727915,TRUE,FALSE,0.1398968467719789,TRUE
Columba_oenas,perc_urban,Urban,1970s,-0.0556473196808103,-0.08694893700126609,0.18,Unsupported,1990s,0.006942630075666486,0.0225410067391769,0.654,Unsupported,1,2,1970s to 1990s,0.06258994975647679,0.06258994975647679,0.10948994374044299,0.10948994374044299,FALSE,FALSE,0.1398968467719789,FALSE
Columba_oenas,perc_cropland,Cropland,1970s,-0.1409183273861501,-0.1685625925671652,0.082,Unsupported,1990s,0.02644638727105967,0.052472990617181886,0.752,Unsupported,1,2,1970s to 1990s,0.16736471465720976,0.16736471465720976,0.22103558318434707,0.22103558318434707,FALSE,FALSE,0.1398968467719789,TRUE
Columba_oenas,perc_pasture,Pasture,1970s,-0.049873213087040624,-0.07841700170918336,0.182,Unsupported,1990s,0.041346664521275854,0.057108652653695934,0.862,Unsupported,1,2,1970s to 1990s,0.09121987760831649,0.09121987760831649,0.1355256543628793,0.1355256543628793,FALSE,FALSE,0.1398968467719789,FALSE
Columba_oenas,perc_forest,Forest,1970s,0.23982455004334302,0.24078770084672993,0.998,Supported positive,1990s,0.4068201855612442,0.4068201855612442,1,Supported positive,1,2,1970s to 1990s,0.1669956355179012,0.1669956355179012,0.1660324847145143,0.1660324847145143,FALSE,FALSE,0.1398968467719789,TRUE
Columba_oenas,perc_grass_shrub,Grass/Shrubland,1970s,-0.003833997623278059,-0.019968737621239897,0.404,Unsupported,1990s,1.0688421098565275e-4,0.0026721052746413163,0.52,Unsupported,1,2,1970s to 1990s,0.003940881834263711,0.003940881834263711,0.022640842895881214,0.022640842895881214,FALSE,FALSE,0.1398968467719789,FALSE
