thermal_group,variable_clean,atlas,atlas_label,n_species,mean_vp,median_vp,signed_vp_mean,supported_species,supported_vp,total_vp,direction_score,positive_species,negative_species,supported_vp_share,effect_direction
warm,Cropland,3,2010s,31,0.012721734438943592,0.0075926562280867515,0.016087222437569534,21,0.3611103535710971,0.3943737676072514,0.9355358212470813,21,2,0.9156551049579935,Higher at max
warm,Forest,1,1970s,31,0.016150026068447777,0.008576740740521416,0.016437091818701597,28,0.4892681182503476,0.5006508081218811,0.9406674045500566,27,3,0.9772642135259223,Higher at max
warm,Forest,2,1990s,31,0.0204649852705413,0.0060657936176769095,0.02646988025864588,23,0.6208634560884221,0.6344145433867803,0.9805815432985481,23,2,0.9786400115829366,Higher at max
warm,Forest,3,2010s,31,0.019888545298251143,0.005605623723987678,0.028906953006301004,20,0.602075019534181,0.6165449042457855,0.9602442243382231,20,2,0.9765306880132187,Higher at max
warm,Grass/Shrubland,1,1970s,31,0.0016316440688462714,0.0011954937792878735,0.0031676103948068044,6,0.019005662368840825,0.05058096613423442,1,7,1,0.3757473180405966,Higher at max
warm,Grass/Shrubland,2,1990s,31,0.0018034615166885768,9.685500146750269e-4,0.004140263539217928,8,0.033122108313743424,0.05590730701734588,1,9,1,0.5924468567850516,Higher at max
warm,Grass/Shrubland,3,2010s,31,0.002016884009440245,0.0012154011078169898,0.0013463406314130517,7,0.025391049968268006,0.06252340429264759,0.3711695432709286,7,2,0.4061047259906456,Higher at max
warm,Land-use heterogeneity,1,1970s,31,0.003602932311429213,0.002037705053770237,0.005332432930201385,14,0.0898687556522986,0.11169090165430559,0.8307009536401647,13,3,0.8046202002241087,Higher at max
warm,Land-use heterogeneity,2,1990s,31,0.006568898361744673,0.0057671311967005924,0.007495178533092125,25,0.1873794633273031,0.20363584921408484,1,26,1,0.9201693319249932,Higher at max
warm,Land-use heterogeneity,3,2010s,31,0.00574366194649641,0.003405054059939602,0.008993530272227938,15,0.14448091836059282,0.1780535203413887,0.9337077561116462,15,2,0.8114465700176786,Higher at max
