"survey","site","atlas","period","guild_richness","species_richness"
"BC84_3","BC84","3","2010s",24,77
"BC85_3","BC85","3","2010s",26,74
"BC94_3","BC94","3","2010s",28,91
"BC95_3","BC95","3","2010s",23,60
"BC96_3","BC96","3","2010s",24,65
"BD02_3","BD02","3","2010s",18,46
"BD04_3","BD04","3","2010s",19,50
"BD05_3","BD05","3","2010s",22,62
"BD06_3","BD06","3","2010s",22,57
"BD07_3","BD07","3","2010s",17,44
"BD08_3","BD08","3","2010s",22,60
"BD09_3","BD09","3","2010s",13,30
"BD11_3","BD11","3","2010s",23,62
"BD12_3","BD12","3","2010s",23,65
"BD13_3","BD13","3","2010s",26,76
"BD19_3","BD19","3","2010s",25,61
"BD21_3","BD21","3","2010s",23,59
"BD22_3","BD22","3","2010s",25,67
"BD23_3","BD23","3","2010s",16,35
"BD30_3","BD30","3","2010s",18,53
"BD31_3","BD31","3","2010s",23,60
"BD32_3","BD32","3","2010s",22,58
"BD33_3","BD33","3","2010s",17,42
"BD35_3","BD35","3","2010s",21,58
"BD36_3","BD36","3","2010s",22,66
"BD39_3","BD39","3","2010s",22,51
"BD40_3","BD40","3","2010s",17,41
"BD42_3","BD42","3","2010s",27,72
"BD43_3","BD43","3","2010s",17,46
"BD44_3","BD44","3","2010s",22,52
"BD45_3","BD45","3","2010s",21,60
"BD46_3","BD46","3","2010s",20,48
"BD49_3","BD49","3","2010s",24,52
"BD50_3","BD50","3","2010s",19,54
"BD51_3","BD51","3","2010s",22,62
"BD52_3","BD52","3","2010s",20,53
"BD53_3","BD53","3","2010s",23,56
"BD54_3","BD54","3","2010s",22,54
"BD56_3","BD56","3","2010s",19,41
"BD57_3","BD57","3","2010s",23,49
"BD60_3","BD60","3","2010s",19,45
"BD61_3","BD61","3","2010s",26,72
"BD62_3","BD62","3","2010s",18,44
"BD63_3","BD63","3","2010s",16,31
"BD64_3","BD64","3","2010s",18,47
"BD66_3","BD66","3","2010s",16,40
"BD68_3","BD68","3","2010s",16,41
"BD70_3","BD70","3","2010s",25,63
"BD71_3","BD71","3","2010s",23,67
"BD72_3","BD72","3","2010s",25,62
"BD73_3","BD73","3","2010s",26,78
"BD74_3","BD74","3","2010s",19,56
"BD75_3","BD75","3","2010s",25,75
"BD76_3","BD76","3","2010s",23,62
"BD77_3","BD77","3","2010s",19,49
"BD80_3","BD80","3","2010s",23,62
"BD81_3","BD81","3","2010s",28,88
"BD82_3","BD82","3","2010s",28,82
"BD83_3","BD83","3","2010s",25,64
"BD88_3","BD88","3","2010s",21,55
"BD90_3","BD90","3","2010s",23,58
"BD91_3","BD91","3","2010s",22,63
"BD92_3","BD92","3","2010s",27,72
"BD94_3","BD94","3","2010s",17,41
"BE02_3","BE02","3","2010s",10,23
"BE03_3","BE03","3","2010s",24,71
"BE04_3","BE04","3","2010s",22,56
"BE06_3","BE06","3","2010s",25,73
"BE07_3","BE07","3","2010s",26,72
"BE08_3","BE08","3","2010s",26,66
"BE09_3","BE09","3","2010s",16,47
"BE10_3","BE10","3","2010s",21,44
"BE11_3","BE11","3","2010s",21,53
"BE12_3","BE12","3","2010s",23,56
"BE13_3","BE13","3","2010s",20,70
"BE14_3","BE14","3","2010s",22,63
"BE15_3","BE15","3","2010s",24,57
