"comparison_id","comparison_label","start_period","end_period","site","richness_1970s","richness_1990s","delta_richness_1990s_minus_1970s","delta_richness","pct_lnd","richness_2010s","delta_richness_2010s_minus_1990s"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD92",63,74,11,11,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD95",70,75,5,5,98.5165148759155,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CD98",56,72,16,16,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE02",57,74,17,17,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE11",41,69,28,28,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE15",41,66,25,25,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE17",66,64,-2,-2,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE19",55,49,-6,-6,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE20",51,77,26,26,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE22",58,72,14,14,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE27",47,39,-8,-8,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE30",74,65,-9,-9,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE31",71,71,0,0,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE34",39,39,0,0,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE35",55,47,-8,-8,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE38",61,67,6,6,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE42",47,64,17,17,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE49",73,72,-1,-1,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE51",85,76,-9,-9,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE52",66,80,14,14,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE60",81,72,-9,-9,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE61",60,68,8,8,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE62",64,72,8,8,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE64",72,91,19,19,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE67",57,57,0,0,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE69",48,70,22,22,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE72",83,77,-6,-6,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE74",54,76,22,22,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE75",55,74,19,19,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE77",56,64,8,8,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE78",65,84,19,19,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE80",68,66,-2,-2,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE81",75,58,-17,-17,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE82",74,94,20,20,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE84",53,76,23,23,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE85",51,70,19,19,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE86",56,60,4,4,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE88",70,90,20,20,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE89",45,77,32,32,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE90",69,59,-10,-10,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE91",76,65,-11,-11,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE92",71,69,-2,-2,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE99",51,82,31,31,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF07",49,41,-8,-8,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF10",70,75,5,5,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF13",73,77,4,4,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF14",56,61,5,5,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF15",57,64,7,7,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF19",62,61,-1,-1,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF23",56,62,6,6,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF29",62,82,20,20,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF32",62,88,26,26,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF33",73,81,8,8,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF34",74,75,1,1,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF38",56,62,6,6,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF40",66,75,9,9,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF41",60,69,9,9,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF42",38,56,18,18,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF43",54,64,10,10,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF44",63,74,11,11,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF49",71,71,0,0,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF50",72,90,18,18,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF51",75,84,9,9,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF52",56,69,13,13,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF54",66,86,20,20,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF55",62,80,18,18,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF58",52,52,0,0,100,,
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF59",65,60,-5,-5,100,,
