"comparison_id","comparison_label","start_period","end_period","site","start_richness","end_richness","delta_richness"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF04",48,91,43
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF05",59,91,32
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF06",54,64,10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF07",52,59,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF08",44,58,14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF11",58,77,19
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF12",61,56,-5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF14",43,50,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF15",38,41,3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF16",43,57,14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF17",30,43,13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF18",33,48,15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF21",50,65,15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF24",24,45,21
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF27",39,43,4
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF28",44,66,22
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF29",58,41,-17
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF31",54,61,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF32",71,79,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF33",63,73,10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF34",27,61,34
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF35",40,53,13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF36",45,55,10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF37",40,40,0
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF38",47,72,25
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF40",55,38,-17
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF41",57,40,-17
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF43",48,40,-8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF46",44,48,4
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF47",33,47,14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF48",36,53,17
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF49",66,69,3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF50",55,58,3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF51",45,61,16
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF53",43,55,12
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF55",45,37,-8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF56",20,47,27
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF57",42,47,5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF58",43,44,1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF59",61,57,-4
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF60",59,68,9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF61",45,60,15
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF62",57,47,-10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF63",44,45,1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","BF64",46,41,-5
