"site","survey","atlas","period","species_richness","modelled_species_pool_size"
"BE11","BE11_1","1","1970s",61,157
"BE12","BE12_1","1","1970s",40,157
"BE13","BE13_1","1","1970s",41,157
"BE14","BE14_1","1","1970s",46,157
"BE15","BE15_1","1","1970s",45,157
"BE16","BE16_1","1","1970s",44,157
"BE17","BE17_1","1","1970s",71,157
"BE18","BE18_1","1","1970s",59,157
"BE19","BE19_1","1","1970s",41,157
"BE20","BE20_1","1","1970s",58,157
"BE21","BE21_1","1","1970s",41,157
"BE22","BE22_1","1","1970s",52,157
"BE23","BE23_1","1","1970s",54,157
"BE24","BE24_1","1","1970s",37,157
"BE25","BE25_1","1","1970s",63,157
"BE26","BE26_1","1","1970s",36,157
"BE27","BE27_1","1","1970s",43,157
"BE30","BE30_1","1","1970s",58,157
"BE31","BE31_1","1","1970s",58,157
"BE32","BE32_1","1","1970s",49,157
"BE33","BE33_1","1","1970s",57,157
"BE34","BE34_1","1","1970s",61,157
"BE35","BE35_1","1","1970s",36,157
"BE36","BE36_1","1","1970s",38,157
"BE37","BE37_1","1","1970s",32,157
"BE38","BE38_1","1","1970s",41,157
"BE39","BE39_1","1","1970s",36,157
"BE40","BE40_1","1","1970s",61,157
"BE41","BE41_1","1","1970s",49,157
"BE42","BE42_1","1","1970s",33,157
"BE43","BE43_1","1","1970s",46,157
"BE44","BE44_1","1","1970s",39,157
"BE45","BE45_1","1","1970s",47,157
"BE46","BE46_1","1","1970s",33,157
"BE47","BE47_1","1","1970s",30,157
"BE48","BE48_1","1","1970s",41,157
"BE50","BE50_1","1","1970s",59,157
"BE51","BE51_1","1","1970s",41,157
"BE52","BE52_1","1","1970s",49,157
"BE53","BE53_1","1","1970s",52,157
"BE54","BE54_1","1","1970s",46,157
"BE55","BE55_1","1","1970s",54,157
"BE56","BE56_1","1","1970s",33,157
"BE57","BE57_1","1","1970s",40,157
"BE58","BE58_1","1","1970s",35,157
"BE59","BE59_1","1","1970s",43,157
"BE60","BE60_1","1","1970s",61,157
"BE61","BE61_1","1","1970s",39,157
"BE62","BE62_1","1","1970s",54,157
"BE63","BE63_1","1","1970s",45,157
"BE64","BE64_1","1","1970s",44,157
"BE65","BE65_1","1","1970s",46,157
"BE66","BE66_1","1","1970s",44,157
"BE67","BE67_1","1","1970s",31,157
"BE68","BE68_1","1","1970s",36,157
"BE69","BE69_1","1","1970s",43,157
"BE70","BE70_1","1","1970s",53,157
"BE71","BE71_1","1","1970s",59,157
"BE73","BE73_1","1","1970s",42,157
"BE74","BE74_1","1","1970s",44,157
"BE75","BE75_1","1","1970s",26,157
"BE76","BE76_1","1","1970s",42,157
"BE77","BE77_1","1","1970s",30,157
"BE78","BE78_1","1","1970s",47,157
"BE79","BE79_1","1","1970s",37,157
"BE80","BE80_1","1","1970s",59,157
"BE81","BE81_1","1","1970s",34,157
"BE82","BE82_1","1","1970s",53,157
"BE83","BE83_1","1","1970s",36,157
