"survey","site","atlas","period","species_richness","retained_species_pool_size"
"CE75_1","CE75","1","1970s",55,156
"CE76_1","CE76","1","1970s",48,156
"CE77_1","CE77","1","1970s",56,156
"CE78_1","CE78","1","1970s",65,156
"CE79_1","CE79","1","1970s",60,156
"CE80_1","CE80","1","1970s",68,156
"CE81_1","CE81","1","1970s",75,156
"CE82_1","CE82","1","1970s",74,156
"CE84_1","CE84","1","1970s",53,156
"CE85_1","CE85","1","1970s",51,156
"CE86_1","CE86","1","1970s",56,156
"CE87_1","CE87","1","1970s",55,156
"CE88_1","CE88","1","1970s",70,156
"CE89_1","CE89","1","1970s",45,156
"CE90_1","CE90","1","1970s",69,156
"CE91_1","CE91","1","1970s",76,156
"CE92_1","CE92","1","1970s",71,156
"CE97_1","CE97","1","1970s",54,156
"CE99_1","CE99","1","1970s",51,156
"CF00_1","CF00","1","1970s",69,156
"CF03_1","CF03","1","1970s",57,156
"CF04_1","CF04","1","1970s",57,156
"CF07_1","CF07","1","1970s",49,156
"CF10_1","CF10","1","1970s",70,156
"CF13_1","CF13","1","1970s",74,156
"CF14_1","CF14","1","1970s",56,156
"CF15_1","CF15","1","1970s",57,156
"CF16_1","CF16","1","1970s",47,156
"CF17_1","CF17","1","1970s",41,156
"CF18_1","CF18","1","1970s",48,156
"CF19_1","CF19","1","1970s",62,156
"CF23_1","CF23","1","1970s",56,156
"CF28_1","CF28","1","1970s",42,156
"CF29_1","CF29","1","1970s",62,156
"CF30_1","CF30","1","1970s",58,156
"CF32_1","CF32","1","1970s",62,156
"CF33_1","CF33","1","1970s",73,156
"CF34_1","CF34","1","1970s",74,156
"CF35_1","CF35","1","1970s",68,156
"CF38_1","CF38","1","1970s",56,156
"CF39_1","CF39","1","1970s",53,156
"CF40_1","CF40","1","1970s",66,156
"CF41_1","CF41","1","1970s",60,156
"CF42_1","CF42","1","1970s",38,156
"CF43_1","CF43","1","1970s",54,156
"CF44_1","CF44","1","1970s",63,156
"CF45_1","CF45","1","1970s",62,156
"CF49_1","CF49","1","1970s",71,156
"CF50_1","CF50","1","1970s",72,156
"CF51_1","CF51","1","1970s",75,156
"CF52_1","CF52","1","1970s",56,156
"CF54_1","CF54","1","1970s",66,156
"CF55_1","CF55","1","1970s",62,156
"CF58_1","CF58","1","1970s",52,156
"CF59_1","CF59","1","1970s",65,156
