"site","survey","atlas","period","species_richness","retained_species_pool_size","pct_lnd"
"CD32","CD32_1","1","1970s",45,154,98.5689230164375
"CD33","CD33_1","1","1970s",74,154,57.5618792524392
"CD40","CD40_1","1","1970s",68,154,100
"CD42","CD42_1","1","1970s",59,154,100
"CD43","CD43_1","1","1970s",59,154,71.4123372332504
"CD47","CD47_1","1","1970s",60,154,100
"CD50","CD50_1","1","1970s",52,154,100
"CD51","CD51_1","1","1970s",54,154,100
"CD54","CD54_1","1","1970s",60,154,100
"CD57","CD57_1","1","1970s",47,154,100
"CD60","CD60_1","1","1970s",65,154,100
"CD62","CD62_1","1","1970s",68,154,100
"CD63","CD63_1","1","1970s",55,154,100
"CD64","CD64_1","1","1970s",50,154,100
"CD67","CD67_1","1","1970s",57,154,100
"CD69","CD69_1","1","1970s",52,154,100
"CD70","CD70_1","1","1970s",52,154,100
"CD71","CD71_1","1","1970s",61,154,100
"CD74","CD74_1","1","1970s",70,154,100
"CD75","CD75_1","1","1970s",56,154,100
"CD80","CD80_1","1","1970s",52,154,100
"CD82","CD82_1","1","1970s",56,154,100
"CD83","CD83_1","1","1970s",68,154,100
"CD84","CD84_1","1","1970s",74,154,100
"CD90","CD90_1","1","1970s",62,154,100
"CD92","CD92_1","1","1970s",63,154,100
"CD95","CD95_1","1","1970s",70,154,98.5165148759155
"CD98","CD98_1","1","1970s",56,154,100
"CE11","CE11_1","1","1970s",41,154,100
"CE15","CE15_1","1","1970s",41,154,100
"CE17","CE17_1","1","1970s",66,154,100
"CE19","CE19_1","1","1970s",55,154,100
"CE20","CE20_1","1","1970s",51,154,100
"CE22","CE22_1","1","1970s",58,154,100
"CE27","CE27_1","1","1970s",47,154,100
"CE30","CE30_1","1","1970s",74,154,100
"CE31","CE31_1","1","1970s",71,154,100
"CE34","CE34_1","1","1970s",39,154,100
"CE35","CE35_1","1","1970s",55,154,100
"CE38","CE38_1","1","1970s",61,154,100
"CE42","CE42_1","1","1970s",47,154,100
"CE49","CE49_1","1","1970s",73,154,100
"CE51","CE51_1","1","1970s",85,154,100
"CE52","CE52_1","1","1970s",66,154,100
"CE60","CE60_1","1","1970s",81,154,100
"CE61","CE61_1","1","1970s",60,154,100
"CE62","CE62_1","1","1970s",64,154,100
"CE64","CE64_1","1","1970s",72,154,100
"CE67","CE67_1","1","1970s",57,154,100
"CE69","CE69_1","1","1970s",48,154,100
"CE72","CE72_1","1","1970s",83,154,100
"CE74","CE74_1","1","1970s",54,154,100
"CE75","CE75_1","1","1970s",55,154,100
"CE77","CE77_1","1","1970s",56,154,100
"CE78","CE78_1","1","1970s",65,154,100
"CE80","CE80_1","1","1970s",68,154,100
"CE81","CE81_1","1","1970s",75,154,100
"CE82","CE82_1","1","1970s",74,154,100
"CE84","CE84_1","1","1970s",53,154,100
"CE85","CE85_1","1","1970s",51,154,100
"CE86","CE86_1","1","1970s",56,154,100
"CE88","CE88_1","1","1970s",70,154,100
"CE89","CE89_1","1","1970s",45,154,100
"CE90","CE90_1","1","1970s",69,154,100
"CE91","CE91_1","1","1970s",76,154,100
"CE92","CE92_1","1","1970s",71,154,100
"CE99","CE99_1","1","1970s",51,154,100
"CF10","CF10_1","1","1970s",70,154,100
"CF13","CF13_1","1","1970s",73,154,100
"CF14","CF14_1","1","1970s",56,154,100
"CF15","CF15_1","1","1970s",57,154,100
"CF19","CF19_1","1","1970s",62,154,100
"CF23","CF23_1","1","1970s",56,154,100
"CF29","CF29_1","1","1970s",62,154,100
"CF32","CF32_1","1","1970s",62,154,100
"CF33","CF33_1","1","1970s",73,154,100
"CF34","CF34_1","1","1970s",74,154,100
"CF38","CF38_1","1","1970s",56,154,100
"CF40","CF40_1","1","1970s",66,154,100
"CF41","CF41_1","1","1970s",60,154,100
"CF42","CF42_1","1","1970s",38,154,100
"CF43","CF43_1","1","1970s",54,154,100
"CF44","CF44_1","1","1970s",63,154,100
"CF49","CF49_1","1","1970s",71,154,100
"CF50","CF50_1","1","1970s",72,154,100
"CF51","CF51_1","1","1970s",75,154,100
"CF52","CF52_1","1","1970s",56,154,100
"CF54","CF54_1","1","1970s",66,154,100
"CF55","CF55_1","1","1970s",62,154,100
"CF58","CF58_1","1","1970s",52,154,100
"CF59","CF59_1","1","1970s",65,154,100
"CF60","CF60_1","1","1970s",74,154,92.0834828807869
"CF61","CF61_1","1","1970s",61,154,100
"CF62","CF62_1","1","1970s",51,154,100
"CF64","CF64_1","1","1970s",67,154,99.6167626252403
"CF65","CF65_1","1","1970s",61,154,100
"CF69","CF69_1","1","1970s",65,154,100
"CF70","CF70_1","1","1970s",67,154,60.3246843376533
"CF71","CF71_1","1","1970s",55,154,100
"CF73","CF73_1","1","1970s",50,154,100
"CF75","CF75_1","1","1970s",52,154,100
"CF78","CF78_1","1","1970s",79,154,100
"CF79","CF79_1","1","1970s",58,154,100
