"comparison_id","comparison_label","start_period","end_period","species","occupied_grid_cells_start","occupied_grid_cells_end","n_shared_grid_cells","records_1970s","records_1990s","records_2010s","prop_occupied_start","prop_occupied_end","delta_occupied_grid_cells","delta_occupancy_proportion","delta_occupancy_percentage_points","change_class","migratory_strategy","foraging_guild_consensus","species_thermal_index","thermal_group"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Curruca_curruca",802,834,895,802,834,856,0.89608938547486,0.931843575418994,32,0.035754189944134,3.5754189944134,"Stable","long-distance","Foliage gleaners",11.6399285102,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Somateria_mollissima",49,78,895,49,78,54,0.0547486033519553,0.0871508379888268,29,0.0324022346368715,3.24022346368715,"Stable","short-distance","Diving ducks",8.1688294838,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Picus_viridis",205,233,895,205,233,256,0.229050279329609,0.260335195530726,28,0.0312849162011173,3.12849162011173,"Stable","sedentary","Woodpeckers",12.9413688865,"warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Turdus_philomelos",848,875,895,848,875,863,0.947486033519553,0.977653631284916,27,0.0301675977653632,3.01675977653632,"Stable","short-distance","Thrushes",11.3956704897,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Phylloscopus_trochilus",861,887,895,861,887,867,0.962011173184358,0.991061452513966,26,0.0290502793296089,2.90502793296089,"Stable","long-distance","Foliage gleaners",10.4596695622,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Pica_pica",774,799,895,774,799,775,0.864804469273743,0.892737430167598,25,0.0279329608938548,2.79329608938548,"Stable","sedentary","Omnivorous corvids",12.155826028,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Strix_aluco",502,527,895,502,527,544,0.560893854748603,0.588826815642458,25,0.0279329608938548,2.79329608938548,"Stable","sedentary","Owls",12.8738657057,"warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Botaurus_stellaris",24,48,895,24,48,131,0.0268156424581006,0.0536312849162011,24,0.0268156424581006,2.68156424581006,"Stable","sedentary and short-distance","Wading birds",13.1076210929,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Recurvirostra_avosetta",129,106,895,129,106,96,0.14413407821229,0.118435754189944,-23,-0.0256983240223464,-2.56983240223464,"Stable","short-and long-distance","Plovers",14.5831200661,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Tringa_glareola",37,15,895,37,15,9,0.041340782122905,0.0167597765363128,-22,-0.0245810055865922,-2.45810055865922,"Stable","long-distance","Scolopacids",7.6706167812,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Curruca_communis",860,881,895,860,881,892,0.960893854748603,0.984357541899441,21,0.023463687150838,2.3463687150838,"Stable","long-distance","Foliage gleaners",12.6535890847,"warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Alcedo_atthis",77,98,895,77,98,190,0.0860335195530726,0.109497206703911,21,0.023463687150838,2.3463687150838,"Stable","sedentary","Kingfishers",13.5319163712,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Columba_palumbus",864,883,895,864,883,882,0.96536312849162,0.98659217877095,19,0.0212290502793296,2.12290502793296,"Stable","sedentary and short-distance","Columbids",12.2214205187,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Asio_flammeus",26,7,895,26,7,5,0.0290502793296089,0.00782122905027933,-19,-0.0212290502793296,-2.12290502793296,"Stable","sedentary and short-distance","Owls",9.6200242401,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Larus_argentatus",89,108,895,89,108,138,0.0994413407821229,0.120670391061453,19,0.0212290502793296,2.12290502793296,"Stable","sedentary and short-distance","Gulls",9.0583381929,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Porzana_porzana",40,22,895,40,22,46,0.0446927374301676,0.0245810055865922,-18,-0.0201117318435754,-2.01117318435754,"Stable","long-distance","Rails",12.4064941754,"warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Anthus_pratensis",591,574,895,591,574,504,0.660335195530726,0.641340782122905,-17,-0.0189944134078213,-1.89944134078213,"Stable","short-distance","Open-land insectivores",9.9487726902,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Sterna_hirundo",85,68,895,85,68,72,0.0949720670391061,0.0759776536312849,-17,-0.0189944134078212,-1.89944134078212,"Stable","long-distance","Terns",11.4396148713,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Anthus_trivialis",628,612,895,628,612,579,0.701675977653631,0.683798882681564,-16,-0.0178770949720671,-1.78770949720671,"Stable","long-distance","Low flycatching feeders",11.2439352645,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Anarhynchus_alexandrinus",22,6,895,22,6,6,0.0245810055865922,0.00670391061452514,-16,-0.017877094972067,-1.7877094972067,"Stable","short-and long-distance","Plovers",16.3071703744,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Caprimulgus_europaeus",87,71,895,87,71,113,0.0972067039106145,0.0793296089385475,-16,-0.017877094972067,-1.7877094972067,"Stable","long-distance","Nigthjars",13.110333547,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Fringilla_coelebs",873,889,895,873,889,886,0.975418994413408,0.993296089385475,16,0.017877094972067,1.7877094972067,"Stable","sedentary and short-distance","Foliage gleaners",12.2951633877,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Mergus_merganser",10,25,895,10,25,46,0.0111731843575419,0.0279329608938547,15,0.0167597765363128,1.67597765363128,"Stable","short-distance","Aquatic pursuers",7.9118621485,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Thalasseus_sandvicensis",25,10,895,25,10,8,0.0279329608938547,0.0111731843575419,-15,-0.0167597765363128,-1.67597765363128,"Stable","short-and long-distance","Terns",12.309341223,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Emberiza_schoeniclus",782,796,895,782,796,758,0.873743016759777,0.889385474860335,14,0.0156424581005586,1.56424581005586,"Stable","sedentary and short-distance","Buntings",11.2704483494,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Tyto_alba",31,18,895,31,18,58,0.0346368715083799,0.0201117318435754,-13,-0.0145251396648045,-1.45251396648045,"Stable","sedentary","Owls",13.9906366009,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Linaria_cannabina",853,866,895,853,866,739,0.953072625698324,0.967597765363128,13,0.0145251396648044,1.45251396648044,"Stable","short-distance","Passerine seedeaters",13.1603552715,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Regulus_ignicapilla",29,17,895,29,17,116,0.0324022346368715,0.0189944134078212,-12,-0.0134078212290503,-1.34078212290503,"Stable","short-distance","Tit-like birds",13.1999439071,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Larus_fuscus",7,19,895,7,19,36,0.00782122905027933,0.0212290502793296,12,0.0134078212290503,1.34078212290503,"Stable","short-and long-distance","Gulls",8.9178677716,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Emberiza_citrinella",883,871,895,883,871,873,0.98659217877095,0.9731843575419,-12,-0.0134078212290503,-1.34078212290503,"Stable","sedentary","Buntings",11.5528442066,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Parus_major",873,885,895,873,885,885,0.975418994413408,0.988826815642458,12,0.0134078212290503,1.34078212290503,"Stable","sedentary and short-distance","Tit-like birds",12.343727765,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Hirundo_rustica",870,881,895,870,881,860,0.972067039106145,0.984357541899441,11,0.0122905027932961,1.22905027932961,"Stable","long-distance","Aerial insectivores",12.4305273248,"warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Limosa_limosa",45,34,895,45,34,23,0.0502793296089385,0.0379888268156425,-11,-0.0122905027932961,-1.22905027932961,"Stable","long-distance","Scolopacids",12.0468335512,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Anas_crecca",117,128,895,117,128,36,0.13072625698324,0.143016759776536,11,0.0122905027932961,1.22905027932961,"Stable","short-distance","Dabbling ducks",10.071290709,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Charadrius_hiaticula",252,261,895,252,261,190,0.281564245810056,0.291620111731844,9,0.0100558659217878,1.00558659217878,"Stable","short-distance","Plovers",8.2214626932,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Podiceps_nigricollis",22,31,895,22,31,25,0.0245810055865922,0.0346368715083799,9,0.0100558659217877,1.00558659217877,"Stable","short-distance","Aquatic pursuers",13.3391366196,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Numenius_arquata",76,67,895,76,67,61,0.0849162011173184,0.0748603351955307,-9,-0.0100558659217877,-1.00558659217877,"Stable","short-distance","Scolopacids",10.0493203009,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Sterna_paradisaea",99,90,895,99,90,60,0.110614525139665,0.100558659217877,-9,-0.0100558659217877,-1.00558659217877,"Stable","long-distance","Terns",6.7214988279,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Vanellus_vanellus",849,841,895,849,841,792,0.948603351955307,0.939664804469274,-8,-0.00893854748603362,-0.893854748603362,"Stable","short-distance","Plovers",11.532605723,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Anas_acuta",38,30,895,38,30,13,0.0424581005586592,0.0335195530726257,-8,-0.00893854748603352,-0.893854748603352,"Stable","short-distance","Dabbling ducks",8.5273453088,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Serinus_serinus",6,13,895,6,13,10,0.00670391061452514,0.0145251396648045,7,0.00782122905027933,0.782122905027933,"Stable","short-distance","Passerine seedeaters",13.8814196118,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Tringa_ochropus",23,30,895,23,30,28,0.0256983240223464,0.0335195530726257,7,0.00782122905027933,0.782122905027933,"Stable","short-and long-distance","Scolopacids",9.8785200822,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Larus_canus",145,152,895,145,152,198,0.162011173184358,0.169832402234637,7,0.00782122905027932,0.782122905027932,"Stable","sedentary and short-distance","Gulls",8.5740563147,"very cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Lullula_arborea",74,80,895,74,80,167,0.08268156424581,0.0893854748603352,6,0.00670391061452515,0.670391061452515,"Stable","short-distance","Open-land insectivores",13.4719748078,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Locustella_luscinioides",22,16,895,22,16,10,0.0245810055865922,0.017877094972067,-6,-0.00670391061452514,-0.670391061452514,"Stable","long-distance","Marsh warblers",13.5908101527,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Streptopelia_turtur",9,15,895,9,15,12,0.0100558659217877,0.0167597765363128,6,0.00670391061452514,0.670391061452514,"Stable","long-distance","Columbids",13.7662137901,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Hippolais_icterina",774,768,895,774,768,750,0.864804469273743,0.858100558659218,-6,-0.00670391061452513,-0.670391061452513,"Stable","long-distance","Foliage gleaners",11.3916568563,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Passer_domesticus",869,864,895,869,864,819,0.970949720670391,0.96536312849162,-5,-0.005586592178771,-0.5586592178771,"Stable","sedentary","Passerine seedeaters",12.2628071769,"medium"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Spatula_querquedula",77,73,895,77,73,53,0.0860335195530726,0.0815642458100559,-4,-0.00446927374301677,-0.446927374301677,"Stable","long-distance","Dabbling ducks",12.389627827,"warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Circus_pygargus",19,16,895,19,16,11,0.0212290502793296,0.017877094972067,-3,-0.00335195530726257,-0.335195530726257,"Stable","long-distance","Diurnal raptors",13.6904029809,"very warm"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Ficedula_parva",7,10,895,7,10,12,0.00782122905027933,0.0111731843575419,3,0.00335195530726257,0.335195530726257,"Stable","long-distance","Flycatchers",11.5985667049,"cold"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","Turdus_merula",887,890,895,887,890,890,0.991061452513966,0.994413407821229,3,0.00335195530726251,0.335195530726251,"Stable","sedentary","Thrushes",12.5843398181,"warm"
