"site","survey","atlas","period","species_richness","retained_species_pool_size"
"DG97","DG97_1","1","1970s",72,156
"DH06","DH06_1","1","1970s",76,156
"DH07","DH07_1","1","1970s",73,156
"DH08","DH08_1","1","1970s",39,156
"DH16","DH16_1","1","1970s",86,156
"DH17","DH17_1","1","1970s",83,156
"DH18","DH18_1","1","1970s",60,156
"DH19","DH19_1","1","1970s",64,156
"DH26","DH26_1","1","1970s",53,156
"DH86","DH86_1","1","1970s",66,156
"DH98","DH98_1","1","1970s",61,156
"DH99","DH99_1","1","1970s",65,156
"ED00","ED00_1","1","1970s",71,156
"ED01","ED01_1","1","1970s",92,156
"EE08","EE08_1","1","1970s",59,156
"EE09","EE09_1","1","1970s",50,156
"EB03","EB03_1","1","1970s",65,156
"EB04","EB04_1","1","1970s",50,156
"EB06","EB06_1","1","1970s",29,156
"EB07","EB07_1","1","1970s",62,156
"EB08","EB08_1","1","1970s",48,156
"EB10","EB10_1","1","1970s",48,156
"ED13","ED13_1","1","1970s",58,156
"ED23","ED23_1","1","1970s",64,156
"ED30","ED30_1","1","1970s",55,156
"EE05","EE05_1","1","1970s",55,156
"EE07","EE07_1","1","1970s",57,156
"EE15","EE15_1","1","1970s",37,156
"EE16","EE16_1","1","1970s",67,156
"EE17","EE17_1","1","1970s",69,156
"EE19","EE19_1","1","1970s",56,156
"EE27","EE27_1","1","1970s",63,156
"EE39","EE39_1","1","1970s",55,156
"EF00","EF00_1","1","1970s",43,156
"EF01","EF01_1","1","1970s",73,156
"EF02","EF02_1","1","1970s",71,156
"EF06","EF06_1","1","1970s",56,156
"EF07","EF07_1","1","1970s",53,156
"EF08","EF08_1","1","1970s",47,156
"EF09","EF09_1","1","1970s",58,156
"EF10","EF10_1","1","1970s",52,156
"EF11","EF11_1","1","1970s",70,156
"EF54","EF54_1","1","1970s",52,156
"EF70","EF70_1","1","1970s",55,156
"EF71","EF71_1","1","1970s",72,156
"EF74","EF74_1","1","1970s",71,156
"EF75","EF75_1","1","1970s",83,156
"EF81","EF81_1","1","1970s",70,156
"EF82","EF82_1","1","1970s",56,156
"EF83","EF83_1","1","1970s",61,156
"EF85","EF85_1","1","1970s",45,156
"EF90","EF90_1","1","1970s",58,156
"EF91","EF91_1","1","1970s",70,156
"EF92","EF92_1","1","1970s",75,156
"EF93","EF93_1","1","1970s",80,156
"EF94","EF94_1","1","1970s",63,156
"EG00","EG00_1","1","1970s",62,156
"EG01","EG01_1","1","1970s",50,156
"EG02","EG02_1","1","1970s",52,156
"EG04","EG04_1","1","1970s",88,156
"EG05","EG05_1","1","1970s",59,156
"EG06","EG06_1","1","1970s",57,156
"EG07","EG07_1","1","1970s",59,156
"EG08","EG08_1","1","1970s",58,156
"EG10","EG10_1","1","1970s",52,156
"EG11","EG11_1","1","1970s",67,156
"EG13","EG13_1","1","1970s",75,156
"EG14","EG14_1","1","1970s",47,156
"EG15","EG15_1","1","1970s",54,156
"EG17","EG17_1","1","1970s",68,156
"EG18","EG18_1","1","1970s",65,156
"EG19","EG19_1","1","1970s",45,156
"EG21","EG21_1","1","1970s",60,156
"EG22","EG22_1","1","1970s",66,156
"EG23","EG23_1","1","1970s",67,156
"EG24","EG24_1","1","1970s",64,156
"EG25","EG25_1","1","1970s",90,156
"EG26","EG26_1","1","1970s",88,156
"EG30","EG30_1","1","1970s",38,156
"EG40","EG40_1","1","1970s",44,156
"EG42","EG42_1","1","1970s",59,156
"EG76","EG76_1","1","1970s",76,156
"EG84","EG84_1","1","1970s",76,156
"EG85","EG85_1","1","1970s",53,156
"EG88","EG88_1","1","1970s",66,156
"EG94","EG94_1","1","1970s",90,156
"EG95","EG95_1","1","1970s",51,156
"EG96","EG96_1","1","1970s",47,156
"EG99","EG99_1","1","1970s",52,156
"EH08","EH08_1","1","1970s",79,156
"EH13","EH13_1","1","1970s",60,156
"EH17","EH17_1","1","1970s",46,156
"EH23","EH23_1","1","1970s",50,156
"EH27","EH27_1","1","1970s",81,156
"EH37","EH37_1","1","1970s",37,156
"EH39","EH39_1","1","1970s",51,156
"EH49","EH49_1","1","1970s",39,156
"EH54","EH54_1","1","1970s",34,156
"EH64","EH64_1","1","1970s",48,156
"EH73","EH73_1","1","1970s",47,156
"EH75","EH75_1","1","1970s",48,156
"EH88","EH88_1","1","1970s",47,156
"EH92","EH92_1","1","1970s",32,156
"EH96","EH96_1","1","1970s",71,156
"FE10","FE10_1","1","1970s",82,156
"FE20","FE20_1","1","1970s",75,156
"FE30","FE30_1","1","1970s",101,156
"FE40","FE40_1","1","1970s",92,156
"FE60","FE60_1","1","1970s",69,156
"FE61","FE61_1","1","1970s",59,156
"FE80","FE80_1","1","1970s",77,156
"FE82","FE82_1","1","1970s",87,156
