"site","survey","atlas","period","species_richness","retained_species_pool_size"
"DE94","DE94_1","1","1970s",47,156
"DE96","DE96_1","1","1970s",64,156
"DE97","DE97_1","1","1970s",75,156
"DE98","DE98_1","1","1970s",61,156
"DE99","DE99_1","1","1970s",48,156
"DF05","DF05_1","1","1970s",45,156
"DF08","DF08_1","1","1970s",37,156
"DF10","DF10_1","1","1970s",48,156
"DF14","DF14_1","1","1970s",71,156
"DF15","DF15_1","1","1970s",65,156
"DF16","DF16_1","1","1970s",67,156
"DF17","DF17_1","1","1970s",65,156
"DF18","DF18_1","1","1970s",76,156
"DF19","DF19_1","1","1970s",56,156
"DF20","DF20_1","1","1970s",58,156
"DF25","DF25_1","1","1970s",79,156
"DF28","DF28_1","1","1970s",76,156
"DF29","DF29_1","1","1970s",54,156
"DF30","DF30_1","1","1970s",60,156
"DF31","DF31_1","1","1970s",64,156
"DF37","DF37_1","1","1970s",79,156
"DF38","DF38_1","1","1970s",93,156
"DF41","DF41_1","1","1970s",55,156
"DF48","DF48_1","1","1970s",60,156
"DF49","DF49_1","1","1970s",46,156
"DF51","DF51_1","1","1970s",54,156
"DF59","DF59_1","1","1970s",74,156
"DF61","DF61_1","1","1970s",62,156
"DF71","DF71_1","1","1970s",52,156
"DF80","DF80_1","1","1970s",63,156
"DF96","DF96_1","1","1970s",64,156
"DF97","DF97_1","1","1970s",40,156
"DG00","DG00_1","1","1970s",45,156
"DG07","DG07_1","1","1970s",74,156
"DG08","DG08_1","1","1970s",49,156
"DG09","DG09_1","1","1970s",68,156
"DG16","DG16_1","1","1970s",55,156
"DG17","DG17_1","1","1970s",40,156
"DG22","DG22_1","1","1970s",50,156
"DG23","DG23_1","1","1970s",58,156
"DG27","DG27_1","1","1970s",51,156
"DG28","DG28_1","1","1970s",63,156
"DG34","DG34_1","1","1970s",46,156
"DG35","DG35_1","1","1970s",65,156
"DG41","DG41_1","1","1970s",44,156
"DG42","DG42_1","1","1970s",73,156
"DG43","DG43_1","1","1970s",49,156
"DG47","DG47_1","1","1970s",52,156
"DG48","DG48_1","1","1970s",57,156
"DG49","DG49_1","1","1970s",53,156
"DG51","DG51_1","1","1970s",81,156
"DG56","DG56_1","1","1970s",55,156
"DG57","DG57_1","1","1970s",76,156
"DG58","DG58_1","1","1970s",72,156
"DG61","DG61_1","1","1970s",87,156
"DG62","DG62_1","1","1970s",89,156
"DG63","DG63_1","1","1970s",55,156
"DG64","DG64_1","1","1970s",70,156
"DG67","DG67_1","1","1970s",62,156
"DG69","DG69_1","1","1970s",62,156
"DG71","DG71_1","1","1970s",68,156
"DG72","DG72_1","1","1970s",71,156
"DG73","DG73_1","1","1970s",65,156
"DG74","DG74_1","1","1970s",48,156
"DG75","DG75_1","1","1970s",74,156
"DG76","DG76_1","1","1970s",48,156
"DG78","DG78_1","1","1970s",68,156
"DG79","DG79_1","1","1970s",51,156
"DG83","DG83_1","1","1970s",49,156
"DG85","DG85_1","1","1970s",55,156
"DG86","DG86_1","1","1970s",57,156
"DG87","DG87_1","1","1970s",54,156
"DG88","DG88_1","1","1970s",71,156
"DG89","DG89_1","1","1970s",67,156
"DG91","DG91_1","1","1970s",55,156
"DG92","DG92_1","1","1970s",55,156
"DG94","DG94_1","1","1970s",73,156
"DG95","DG95_1","1","1970s",66,156
"DG96","DG96_1","1","1970s",59,156
