"comparison_id","comparison_label","start_period","end_period","site","start_richness","end_richness","delta_richness"
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE85",51,70,19
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE86",56,60,4
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE88",70,90,20
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE89",45,77,32
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE90",69,59,-10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE91",76,65,-11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE92",71,69,-2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CE99",51,82,31
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF07",49,41,-8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF10",70,75,5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF13",74,78,4
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF14",56,61,5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF15",57,64,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF19",62,61,-1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF23",56,63,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF29",62,82,20
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF32",62,88,26
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF33",73,81,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF34",74,75,1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF38",56,62,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF40",66,75,9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF41",60,69,9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF42",38,56,18
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF43",54,64,10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF44",63,74,11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF49",71,71,0
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF50",72,90,18
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF51",75,84,9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF52",56,69,13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF54",66,86,20
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF55",62,80,18
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF58",52,52,0
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF59",65,60,-5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF60",74,77,3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF61",61,79,18
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF62",51,73,22
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF64",67,87,20
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF65",61,69,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF69",65,73,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF70",67,78,11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF71",55,52,-3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF73",50,68,18
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF75",52,55,3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF78",79,74,-5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF79",58,56,-2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF82",76,92,16
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF84",67,50,-17
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF86",63,57,-6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF87",65,66,1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF89",68,65,-3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF90",56,53,-3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF91",52,60,8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF92",67,58,-9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF95",70,63,-7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CF98",65,68,3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG05",61,77,16
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG07",67,74,7
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG09",72,74,2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG13",55,55,0
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG29",60,47,-13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG39",68,81,13
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG40",71,85,14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG42",59,64,5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG44",65,92,27
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG47",65,74,9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG48",82,76,-6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG49",64,67,3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG50",58,74,16
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG51",79,89,10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG53",65,75,10
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG54",52,94,42
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG56",50,64,14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG57",53,71,18
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG58",86,80,-6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG59",76,80,4
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG61",67,69,2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG65",62,54,-8
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG66",54,68,14
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG68",69,74,5
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG69",81,70,-11
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG73",57,66,9
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG75",54,57,3
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG78",54,72,18
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG79",72,73,1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG80",50,56,6
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG83",60,61,1
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG84",44,75,31
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG85",35,68,33
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG89",75,73,-2
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CG90",38,67,29
"1990s_minus_1970s","1990s minus 1970s","1970s","1990s","CH06",53,59,6
