"site","richness_1990s","richness_2010s","delta_raptor_richness"
"CF83",4,2,-2
"CF84",3,4,1
"CF85",0,3,3
"CF86",1,4,3
"CF87",2,4,2
"CF88",1,1,0
"CF89",4,3,-1
"CF90",0,2,2
"CF91",1,3,2
"CF92",2,4,2
"CF93",3,2,-1
"CF94",1,5,4
"CF95",1,3,2
"CF96",1,5,4
"CF97",3,4,1
"CF98",3,5,2
"CF99",3,3,0
"CG00",0,2,2
"CG01",0,2,2
"CG02",1,2,1
"CG03",1,2,1
"CG04",1,4,3
"CG05",3,4,1
"CG06",3,4,1
"CG07",3,2,-1
"CG08",2,2,0
"CG09",4,4,0
"CG10",1,1,0
"CG11",0,1,1
"CG12",1,2,1
"CG13",1,3,2
"CG14",1,2,1
"CG15",4,7,3
"CG16",1,2,1
"CG17",4,3,-1
"CG18",1,0,-1
"CG19",1,4,3
"CG20",1,0,-1
"CG21",1,2,1
"CG22",1,2,1
"CG23",2,5,3
"CG24",2,3,1
"CG25",3,1,-2
"CG26",3,1,-2
"CG27",3,4,1
"CG28",2,1,-1
"CG29",2,3,1
"CG30",2,1,-1
"CG31",1,3,2
"CG32",1,2,1
"CG33",2,4,2
"CG34",1,3,2
"CG35",2,1,-1
"CG36",1,3,2
"CG37",5,6,1
"CG38",3,4,1
"CG39",5,5,0
"CG40",5,2,-3
"CG41",1,4,3
"CG42",3,4,1
"CG43",2,4,2
"CG44",6,4,-2
"CG45",1,3,2
"CG46",6,4,-2
"CG47",5,4,-1
"CG48",3,5,2
"CG49",5,5,0
"CG50",4,2,-2
"CG51",4,6,2
"CG52",4,6,2
"CG53",4,4,0
"CG54",5,6,1
"CG55",3,3,0
"CG56",5,4,-1
"CG57",5,4,-1
"CG58",6,6,0
"CG59",4,5,1
"CG60",3,0,-3
"CG61",2,1,-1
"CG62",1,2,1
"CG63",2,2,0
"CG64",2,4,2
"CG65",4,6,2
"CG66",4,4,0
"CG67",5,6,1
"CG68",6,5,-1
"CG69",3,3,0
"CG71",0,1,1
"CG73",4,3,-1
"CG74",1,3,2
"CG75",4,4,0
"CG76",3,3,0
"CG77",4,4,0
"CG78",5,5,0
"CG79",4,5,1
"CG80",1,2,1
"CG83",2,5,3
"CG84",3,4,1
"CG85",3,2,-1
"CG86",4,2,-2
"CG88",2,3,1
