base_site,site_from,site_to,X,Y,predictor,predictor_label,coefficient,local_t,abs_local_t,direction,local_r2,trait_family,trait_value,n_species,model_set,supported,dominant_driver,dominant_direction
EF07,EF07,EF07,602500.0078381761,6187499.891590624,tmean_breeding,Temperature,0.008657055766328562,6.468936586405773,6.468936586405773,Positive,0.22930716116936187,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
EF08,EF08,EF08,602499.9662049786,6192499.859152391,tmean_breeding,Temperature,0.010010703495321823,7.23212356498809,7.23212356498809,Positive,0.21786022334520663,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
EF09,EF09,EF09,602499.963655327,6197499.869020305,tmean_breeding,Temperature,0.011414526400686562,7.895010849771192,7.895010849771192,Positive,0.20602417857412633,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
EF10,EF10,EF10,607500.16663707,6152499.862016589,hh,Land-use heterogeneity,-0.003434457321969017,-4.047517776909986,4.047517776909986,Negative,0.3853312245451318,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Land-use heterogeneity,Negative
EF11,EF11,EF11,607500.176405482,6157499.852075477,hh,Land-use heterogeneity,-0.0034252419265674563,-4.08895457331245,4.08895457331245,Negative,0.37841125327007363,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Land-use heterogeneity,Negative
EF45,EF45,EF45,622500.1133564778,6177499.906438245,perc_forest,Forest,-0.00286415252293268,-3.1532432880115535,3.1532432880115535,Negative,0.39842902707286293,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EF54,EF54,EF54,627500.173708827,6172499.894058021,perc_forest,Forest,-0.0029850010481494464,-3.1495133384506713,3.1495133384506713,Negative,0.4263712717268646,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EF55,EF55,EF55,627500.1632006445,6177499.839703479,perc_forest,Forest,-0.0028312800100670395,-3.008551525746422,3.008551525746422,Negative,0.4183620681918347,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EF63,EF63,EF63,632500.2244002955,6167499.81615931,perc_forest,Forest,-0.0029957640751299914,-3.0509352674848196,3.0509352674848196,Negative,0.44512120814170425,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EF64,EF64,EF64,632500.1982281193,6172499.854965836,perc_forest,Forest,-0.002877267524172507,-2.9493670963625465,2.9493670963625465,Negative,0.44118594190770655,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EF65,EF65,EF65,632500.1855857152,6177499.827314664,perc_forest,Forest,-0.0027366946170211863,-2.8176267653351803,2.8176267653351803,Negative,0.43504709428399957,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EF69,EF69,EF69,632500.1501958598,6197499.82822393,tmean_breeding,Temperature,0.006184742889631747,4.492117159470258,4.492117159470258,Positive,0.3631613814094721,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Positive
EF70,EF70,EF70,637500.234482398,6152499.829759564,perc_forest,Forest,-0.0030318737818258593,-2.9766651091066483,2.9766651091066483,Negative,0.44423468767606294,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EF71,EF71,EF71,637500.2314522653,6157499.769810148,perc_forest,Forest,-0.0029876262287290515,-2.9515102292428237,2.9515102292428237,Negative,0.45024910951431946,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EF72,EF72,EF72,637500.2274973425,6162499.754893564,perc_forest,Forest,-0.0029102673962958098,-2.8912671448376135,2.8912671448376135,Negative,0.45366986505151613,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EF73,EF73,EF73,637500.2209097057,6167499.784967061,perc_forest,Forest,-0.0028147602678400474,-2.8095294050165784,2.8095294050165784,Negative,0.4542779110350986,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EF74,EF74,EF74,637500.2099802837,6172499.859987579,perc_forest,Forest,-0.0027044828818700963,-2.7074591122163816,2.7074591122163816,Negative,0.4523146301269929,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EF75,EF75,EF75,637500.1965109793,6177499.868648433,perc_forest,Forest,-0.002579977115262243,-2.587006249342737,2.587006249342737,Negative,0.44813757134310916,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EF80,EF80,EF80,642500.2088201805,6152499.8108049715,tmean_breeding,Temperature,-0.0040123157253898895,-2.8951795321933873,2.8951795321933873,Negative,0.42190525599524453,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Temperature,Negative
EF81,EF81,EF81,642500.2076575521,6157499.794391641,perc_forest,Forest,-0.0027966164077716507,-2.732349041033154,2.732349041033154,Negative,0.4526630275971272,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EF82,EF82,EF82,642500.2525552853,6162499.825148337,perc_forest,Forest,-0.0027143623013076703,-2.6587521431341985,2.6587521431341985,Negative,0.4577638630527739,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
EF83,EF83,EF83,642500.2193219239,6167499.787668911,perc_forest,Forest,-0.002608824505829445,-2.5596784454514876,2.5596784454514876,Negative,0.46013058227102266,Migratory strategy,sedentary and short-distance,31,single_predictor,TRUE,Forest,Negative
