atlas,atlas_index,species,climate,land_use,environmental_variables,spatial_biotic_dependencies,total_explained,tjur_r2,scaling_check_abs_diff
1970s,1,Porzana_porzana,0.01956068552217708,0.030380963435928436,0.04994164895810552,0.17924511889097805,0.22918676784908357,0.229186767849084,4.440892098500626e-16
1970s,1,Rallus_aquaticus,0.006377499579713409,0.018636970798939802,0.02501447037865321,0.2460300266680127,0.27104449704666594,0.271044497046666,5.551115123125783e-17
1970s,1,Acanthis_flammea,0.007920131436659704,0.054175225122251765,0.06209535655891147,0.2781474219382157,0.34024277849712714,0.340242778497127,1.6653345369377348e-16
1970s,1,Acrocephalus_arundinaceus,0.00924499607569873,0.012404134902718137,0.021649130978416867,0.11661052408237307,0.13825965506078994,0.13825965506079,5.551115123125783e-17
1970s,1,Acrocephalus_palustris,0.017513868060684598,0.020674582737313776,0.038188450797998374,0.3086257011026855,0.3468141519006839,0.346814151900684,1.1102230246251565e-16
1970s,1,Acrocephalus_schoenobaenus,0.04543476800869342,0.012305128166520986,0.05773989617521441,0.3538669027247471,0.4116067988999615,0.411606798899962,4.996003610813204e-16
1970s,1,Acrocephalus_scirpaceus,0.05414976617597893,0.01027727350558352,0.06442703968156245,0.3532084805573786,0.417635520238941,0.417635520238941,0
1970s,1,Aegithalos_caudatus,0.03804684917408557,0.04845797995101059,0.08650482912509616,0.3126207199991489,0.3991255491242451,0.399125549124245,5.551115123125783e-17
1970s,1,Alauda_arvensis,0.006955571446160153,0.015805432075176932,0.022761003521337086,0.07728617766684596,0.10004718118818305,0.100047181188183,5.551115123125783e-17
1970s,1,Anthus_pratensis,0.04911666294279403,0.02475677466009776,0.07387343760289179,0.2114474638314248,0.2853209014343166,0.285320901434317,3.885780586188048e-16
1970s,1,Anthus_trivialis,0.0029526561124975366,0.08233322603507004,0.08528588214756758,0.26658886570767715,0.35187474785524475,0.351874747855245,2.220446049250313e-16
1970s,1,Carduelis_carduelis,0.0029533916234369484,0.019128101843305222,0.02208149346674217,0.22159852392353802,0.2436800173902802,0.24368001739028,1.942890293094024e-16
1970s,1,Carpodacus_erythrinus,0.023646283307680368,0.0426549999598743,0.06630128326755466,0.049307071188571285,0.11560835445612594,0.115608354456126,5.551115123125783e-17
1970s,1,Certhia_brachydactyla,0.07790596037095548,0.02933882871709434,0.10724478908804982,0.2600798772802456,0.3673246663682954,0.367324666368296,6.106226635438361e-16
1970s,1,Certhia_familiaris,0.010915983465398672,0.05283058303660591,0.06374656650200458,0.41236131363605255,0.47610788013805716,0.476107880138057,1.6653345369377348e-16
