atlas,draw,trait_family,full_r2t_y,drop_r2t_y,contribution
1970s,40,Species thermal index,0.12214308779365682,0.1415702713648383,-0.019427183571181478
1970s,40,Migratory strategy,0.12214308779365682,0.060537513882235085,0.061605573911421734
1970s,40,Foraging guild,0.12214308779365682,0.02878663477519885,0.09335645301845796
1970s,41,Species thermal index,0.23937400835533768,0.23593301588429763,0.003440992471040044
1970s,41,Migratory strategy,0.23937400835533768,0.15950129681731104,0.07987271153802664
1970s,41,Foraging guild,0.23937400835533768,0.07212820376032283,0.16724580459501484
1970s,42,Species thermal index,0.11016511756531071,0.10057128296663483,0.009593834598675882
1970s,42,Migratory strategy,0.11016511756531071,0.07381227236809976,0.03635284519721095
1970s,42,Foraging guild,0.11016511756531071,0.07305631272613837,0.03710880483917234
1970s,43,Species thermal index,0.10790299688597418,0.10314834579290845,0.004754651093065734
1970s,43,Migratory strategy,0.10790299688597418,0.04142535171900337,0.06647764516697081
1970s,43,Foraging guild,0.10790299688597418,0.09549669405263866,0.01240630283333552
1970s,44,Species thermal index,0.1874261614774044,0.159984968519706,0.027441192957698396
1970s,44,Migratory strategy,0.1874261614774044,0.09071755379057109,0.09670860768683331
1970s,44,Foraging guild,0.1874261614774044,0.11663863202407627,0.07078752945332813
1970s,45,Species thermal index,0.1095128533534143,0.10552433612855475,0.0039885172248595585
1970s,45,Migratory strategy,0.1095128533534143,0.05740905280746969,0.052103800545944615
1970s,45,Foraging guild,0.1095128533534143,0.08122903875231104,0.02828381460110327
1970s,46,Species thermal index,0.05988101543469879,0.057096702199225184,0.0027843132354736025
1970s,46,Migratory strategy,0.05988101543469879,0.0217495875088598,0.038131427925838984
1970s,46,Foraging guild,0.05988101543469879,0.06175882940582845,-0.0018778139711296618
1970s,47,Species thermal index,0.15660604494095934,0.1353757392384475,0.02123030570251183
1970s,47,Migratory strategy,0.15660604494095934,0.0844272122568373,0.07217883268412204
1970s,47,Foraging guild,0.15660604494095934,0.09208913476239294,0.0645169101785664
1970s,48,Species thermal index,0.23030574787024255,0.22316857957861863,0.007137168291623919
1970s,48,Migratory strategy,0.23030574787024255,0.11383447025350922,0.11647127761673333
1970s,48,Foraging guild,0.23030574787024255,0.09130627902448338,0.13899946884575917
1970s,49,Species thermal index,0.20580702032759807,0.1858804924039803,0.019926527923617765
1970s,49,Migratory strategy,0.20580702032759807,0.10545942481180413,0.10034759551579393
1970s,49,Foraging guild,0.20580702032759807,0.11795324047710298,0.08785377985049508
1970s,50,Species thermal index,0.11105263512622128,0.12365357079993337,-0.012600935673712094
1970s,50,Migratory strategy,0.11105263512622128,0.04142017025738347,0.06963246486883781
1970s,50,Foraging guild,0.11105263512622128,0.06696943416715564,0.044083200959065635
1970s,51,Species thermal index,0.1593797784748986,0.1446836088545161,0.014696169620382504
1970s,51,Migratory strategy,0.1593797784748986,0.13342579873279836,0.02595397974210023
1970s,51,Foraging guild,0.1593797784748986,0.07952795027949872,0.07985182819539988
