model_folder,atlas,period,species_a,species_b,omega_mean,pr_positive,pr_negative,pair_id,support_class,is_supported_positive,is_supported_negative,guild_a,migration_group_a,species_thermal_index_a,guild_b,migration_group_b,species_thermal_index_b,guild_1,guild_2,guild_pair,guild_pair_type
2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage,2,1990s,Aythya_ferina,Podiceps_cristatus,0.9881175848009536,1,0,Aythya_ferina__Podiceps_cristatus,Supported positive,TRUE,FALSE,Diving ducks,short-distance,12.445391892,Aquatic pursuers,short-distance,12.6860788894,Aquatic pursuers,Diving ducks,Aquatic pursuers | Diving ducks,Between guild
2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage,2,1990s,Curruca_curruca,Hippolais_icterina,0.9873047691715168,1,0,Curruca_curruca__Hippolais_icterina,Supported positive,TRUE,FALSE,Foliage gleaners,long-distance,11.6399285102,Foliage gleaners,long-distance,11.3916568563,Foliage gleaners,Foliage gleaners,Foliage gleaners,Within guild
2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage,2,1990s,Rallus_aquaticus,Acrocephalus_scirpaceus,0.9836620879103086,1,0,Rallus_aquaticus__Acrocephalus_scirpaceus,Supported positive,TRUE,FALSE,Rails,sedentary and short-distance,13.3215188918,Marsh warblers,long-distance,13.1524057431,Marsh warblers,Rails,Marsh warblers | Rails,Between guild
2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage,2,1990s,Aegithalos_caudatus,Certhia_familiaris,0.9827994577010831,1,0,Aegithalos_caudatus__Certhia_familiaris,Supported positive,TRUE,FALSE,Tit-like birds,sedentary,12.6607518772,Tit-like birds,sedentary,11.119463211,Tit-like birds,Tit-like birds,Tit-like birds,Within guild
2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage,2,1990s,Coccothraustes_coccothraustes,Phylloscopus_sibilatrix,0.9820867273010924,1,0,Coccothraustes_coccothraustes__Phylloscopus_sibilatrix,Supported positive,TRUE,FALSE,Passerine seedeaters,sedentary,12.9763477132,Foliage gleaners,long-distance,11.3755910555,Foliage gleaners,Passerine seedeaters,Foliage gleaners | Passerine seedeaters,Between guild
2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage,2,1990s,Loxia_curvirostra,Spinus_spinus,0.9816495032775177,1,0,Loxia_curvirostra__Spinus_spinus,Supported positive,TRUE,FALSE,Passerine seedeaters,sedentary and short-distance,10.4943181045,Passerine seedeaters,sedentary and short-distance,10.2425165856,Passerine seedeaters,Passerine seedeaters,Passerine seedeaters,Within guild
2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage,2,1990s,Rallus_aquaticus,Emberiza_schoeniclus,0.9807333672244576,1,0,Rallus_aquaticus__Emberiza_schoeniclus,Supported positive,TRUE,FALSE,Rails,sedentary and short-distance,13.3215188918,Buntings,sedentary and short-distance,11.2704483494,Buntings,Rails,Buntings | Rails,Between guild
2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage,2,1990s,Corvus_cornix,Passer_montanus,0.979990700410408,1,0,Corvus_cornix__Passer_montanus,Supported positive,TRUE,FALSE,Omnivorous corvids,sedentary,12.1293990446,Passerine seedeaters,sedentary,13.070887931,Omnivorous corvids,Passerine seedeaters,Omnivorous corvids | Passerine seedeaters,Between guild
2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage,2,1990s,Erithacus_rubecula,Turdus_philomelos,0.979170964992772,1,0,Erithacus_rubecula__Turdus_philomelos,Supported positive,TRUE,FALSE,Low flycatching feeders,sedentary,11.998445823500001,Thrushes,short-distance,11.3956704897,Low flycatching feeders,Thrushes,Low flycatching feeders | Thrushes,Between guild
2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage,2,1990s,Mareca_strepera,Spatula_clypeata,0.9788265947721779,1,0,Mareca_strepera__Spatula_clypeata,Supported positive,TRUE,FALSE,Dabbling ducks,short-distance,12.5158986156,Dabbling ducks,short-distance,11.7556216717,Dabbling ducks,Dabbling ducks,Dabbling ducks,Within guild
2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage,2,1990s,Erithacus_rubecula,Phylloscopus_sibilatrix,0.9784358180754605,1,0,Erithacus_rubecula__Phylloscopus_sibilatrix,Supported positive,TRUE,FALSE,Low flycatching feeders,sedentary,11.998445823500001,Foliage gleaners,long-distance,11.3755910555,Foliage gleaners,Low flycatching feeders,Foliage gleaners | Low flycatching feeders,Between guild
2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage,2,1990s,Aythya_ferina,Aythya_fuligula,0.9781821362160936,1,0,Aythya_ferina__Aythya_fuligula,Supported positive,TRUE,FALSE,Diving ducks,short-distance,12.445391892,Diving ducks,short-distance,10.1385920012,Diving ducks,Diving ducks,Diving ducks,Within guild
2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage,2,1990s,Circus_aeruginosus,Aythya_ferina,0.9780506189699715,1,0,Circus_aeruginosus__Aythya_ferina,Supported positive,TRUE,FALSE,Diurnal raptors,short-and long-distance,13.2259231132,Diving ducks,short-distance,12.445391892,Diurnal raptors,Diving ducks,Diurnal raptors | Diving ducks,Between guild
2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage,2,1990s,Phylloscopus_sibilatrix,Turdus_philomelos,0.9779519395794077,1,0,Phylloscopus_sibilatrix__Turdus_philomelos,Supported positive,TRUE,FALSE,Foliage gleaners,long-distance,11.3755910555,Thrushes,short-distance,11.3956704897,Foliage gleaners,Thrushes,Foliage gleaners | Thrushes,Between guild
2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage,2,1990s,Astur_gentilis,Coccothraustes_coccothraustes,0.9775930642787017,1,0,Astur_gentilis__Coccothraustes_coccothraustes,Supported positive,TRUE,FALSE,Diurnal raptors,sedentary,11.8007973825,Passerine seedeaters,sedentary,12.9763477132,Diurnal raptors,Passerine seedeaters,Diurnal raptors | Passerine seedeaters,Between guild
2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage,2,1990s,Aythya_ferina,Cygnus_olor,0.9772559357785063,1,0,Aythya_ferina__Cygnus_olor,Supported positive,TRUE,FALSE,Diving ducks,short-distance,12.445391892,Grazing waterfowl,sedentary and short-distance,12.1899516659,Diving ducks,Grazing waterfowl,Diving ducks | Grazing waterfowl,Between guild
2026-03-13_06-58-56_Atlas2_MinOccs5_CoverageGoodAverage,2,1990s,Buteo_buteo,Pyrrhula_pyrrhula,0.9770245110623462,1,0,Buteo_buteo__Pyrrhula_pyrrhula,Supported positive,TRUE,FALSE,Diurnal raptors,sedentary and short-distance,12.6973693303,Passerine seedeaters,short-distance,10.756294956,Diurnal raptors,Passerine seedeaters,Diurnal raptors | Passerine seedeaters,Between guild
