grouping_type,atlas,period,group_pair_type,group_1,group_2,group_pair,support_class,n_class_pairs,n_group_pairs,observed_prop,atlas_prop,observed_minus_atlas_prop,unstable_small_pair_count,bootstrap_mean,bootstrap_median,bootstrap_lower_80,bootstrap_upper_80,bootstrap_lower_95,bootstrap_upper_95
foraging_guild,2,1990s,Between group,Diurnal raptors,Open-land insectivores,Diurnal raptors | Open-land insectivores,Supported positive,28,42,0.6666666666666666,0.6518863302302793,0.01478033643638732,FALSE,0.6665714285714256,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
foraging_guild,2,1990s,Between group,Diurnal raptors,Orioles,Diurnal raptors | Orioles,Supported positive,5,7,0.7142857142857143,0.6518863302302793,0.06239938405543499,TRUE,0.7142857142857043,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
foraging_guild,2,1990s,Between group,Diurnal raptors,Owls,Diurnal raptors | Owls,Supported positive,16,35,0.45714285714285713,0.6518863302302793,-0.19474347308742218,FALSE,0.45802857142856973,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.45714285714285713,0.4857142857142857
foraging_guild,2,1990s,Between group,Diurnal raptors,Passerine seedeaters,Diurnal raptors | Passerine seedeaters,Supported positive,67,84,0.7976190476190477,0.6518863302302793,0.14573271738876836,FALSE,0.7929166666666648,0.7976190476190477,0.7857142857142857,0.7976190476190477,0.7738095238095238,0.7976190476190477
foraging_guild,2,1990s,Between group,Diurnal raptors,Plovers,Diurnal raptors | Plovers,Supported positive,25,42,0.5952380952380952,0.6518863302302793,-0.05664823499218408,FALSE,0.5974285714285609,0.5952380952380952,0.5952380952380952,0.6190476190476191,0.5952380952380952,0.6190476190476191
foraging_guild,2,1990s,Between group,Diurnal raptors,Rails,Diurnal raptors | Rails,Supported positive,23,35,0.6571428571428571,0.6518863302302793,0.00525652691257783,FALSE,0.6704857142857149,0.6571428571428571,0.6571428571428571,0.6857142857142857,0.6571428571428571,0.6857142857142857
foraging_guild,2,1990s,Between group,Diurnal raptors,Reedlings,Diurnal raptors | Reedlings,Supported positive,3,7,0.42857142857142855,0.6518863302302793,-0.22331490165885076,TRUE,0.428714285714289,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855
foraging_guild,2,1990s,Between group,Diurnal raptors,Scolopacids,Diurnal raptors | Scolopacids,Supported positive,37,63,0.5873015873015873,0.6518863302302793,-0.06458474292869198,FALSE,0.5873015873015774,0.5873015873015873,0.5873015873015873,0.5873015873015873,0.5873015873015873,0.5873015873015873
foraging_guild,2,1990s,Between group,Diurnal raptors,Shrikes,Diurnal raptors | Shrikes,Supported positive,7,14,0.5,0.6518863302302793,-0.1518863302302793,FALSE,0.47592857142857303,0.5,0.42857142857142855,0.5,0.42857142857142855,0.5
foraging_guild,2,1990s,Between group,Diurnal raptors,Starlings,Diurnal raptors | Starlings,Supported positive,5,7,0.7142857142857143,0.6518863302302793,0.06239938405543499,TRUE,0.7142857142857043,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143
foraging_guild,2,1990s,Between group,Diurnal raptors,Terns,Diurnal raptors | Terns,Supported positive,17,35,0.4857142857142857,0.6518863302302793,-0.1661720445159936,FALSE,0.4859142857142783,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.4857142857142857,0.4857142857142857
foraging_guild,2,1990s,Between group,Diurnal raptors,Thrushes,Diurnal raptors | Thrushes,Supported positive,18,28,0.6428571428571429,0.6518863302302793,-0.009029187373136405,FALSE,0.6413571428571451,0.6428571428571429,0.6428571428571429,0.6428571428571429,0.6071428571428571,0.6785714285714286
foraging_guild,2,1990s,Between group,Diurnal raptors,Tit-like birds,Diurnal raptors | Tit-like birds,Supported positive,62,84,0.7380952380952381,0.6518863302302793,0.08620890786495883,FALSE,0.7362261904761807,0.7380952380952381,0.7261904761904762,0.7380952380952381,0.7261904761904762,0.75
foraging_guild,2,1990s,Between group,Diurnal raptors,Wading birds,Diurnal raptors | Wading birds,Supported positive,8,14,0.5714285714285714,0.6518863302302793,-0.08045775880170791,FALSE,0.5714285714285648,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714
foraging_guild,2,1990s,Between group,Diurnal raptors,Woodpeckers,Diurnal raptors | Woodpeckers,Supported positive,23,35,0.6571428571428571,0.6518863302302793,0.00525652691257783,FALSE,0.6553714285714254,0.6571428571428571,0.6285714285714286,0.6857142857142857,0.6285714285714286,0.6857142857142857
foraging_guild,2,1990s,Within group,Diving ducks,Diving ducks,Diving ducks,Supported positive,2,3,0.6666666666666666,0.6518863302302793,0.01478033643638732,TRUE,0.6666666666666636,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
foraging_guild,2,1990s,Between group,Diving ducks,Flycatchers,Diving ducks | Flycatchers,Supported positive,5,9,0.5555555555555556,0.6518863302302793,-0.09633077467472373,TRUE,0.5537777777777687,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556
