grouping_type,display_name,group_pair_type,group_1,group_2,group_pair,n_group_pairs,support_class,n_periods,mean_observed_minus_null,min_observed_minus_null,max_observed_minus_null,min_abs_null_z,max_abs_observed_minus_null,n_fdr_0_05,all_above_null,all_below_null,excess_1970s,excess_1990s,excess_2010s,delta_2010s_minus_1970s,sign_flip_1970s_to_2010s,temporal_pattern,unstable_small_pair_count
foraging_guild,Foraging guild,Within group,Foliage gleaners,Foliage gleaners,Foliage gleaners,36,Supported positive,3,0.40601712823935027,0.3521021021021016,0.4377154932710482,2.5415137867902926,0.4377154932710482,0,TRUE,FALSE,0.4377154932710482,0.3521021021021016,0.428233789344901,-0.009481703926147222,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Foliage gleaners,Terns,Foliage gleaners | Terns,45,Supported positive,3,-0.39183628072516846,-0.509731954176397,-0.30764097430763965,2.5034116089573124,0.509731954176397,0,FALSE,TRUE,-0.35813591369146874,-0.509731954176397,-0.30764097430763965,0.050494939383829096,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Terns,Thrushes,Terns | Thrushes,20,Supported positive,3,-0.4928595261928597,-0.5613113113113117,-0.392342342342343,2.5005608516695847,0.5613113113113117,0,FALSE,TRUE,-0.5613113113113117,-0.392342342342343,-0.5249249249249245,0.03638638638638725,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Gulls,Low flycatching feeders,Gulls | Low flycatching feeders,45,Supported positive,3,-0.3703555407259113,-0.4749193638082523,-0.31478144811478187,2.489314728284642,0.4749193638082523,0,FALSE,TRUE,-0.3213658102546998,-0.4749193638082523,-0.31478144811478187,0.006584362139917921,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Plovers,Tit-like birds,Plovers | Tit-like birds,72,Supported positive,3,-0.2823796018240461,-0.34754198643087525,-0.2472750528306079,2.4542457348546964,0.34754198643087525,0,FALSE,TRUE,-0.2472750528306079,-0.25232176621065505,-0.34754198643087525,-0.10026693360026734,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Low flycatching feeders,Terns,Low flycatching feeders | Terns,45,Supported positive,3,-0.3341712082452822,-0.4014903792681568,-0.27015904793682566,2.4458685734882235,0.4014903792681568,0,FALSE,TRUE,-0.27015904793682566,-0.4014903792681568,-0.33086419753086405,-0.06070514959403839,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Shrikes,Terns,Shrikes | Terns,10,Supported positive,3,-0.5320320320320316,-0.5869869869869854,-0.46126126126126177,2.399126526052406,0.5869869869869854,0,FALSE,TRUE,-0.46126126126126177,-0.5478478478478479,-0.5869869869869854,-0.1257257257257236,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Aerial insectivores,Low flycatching feeders,Aerial insectivores | Low flycatching feeders,36,Supported positive,3,0.30902198494791056,0.26799021243465726,0.33650316983650297,2.2751142562700695,0.33650316983650297,0,TRUE,FALSE,0.26799021243465726,0.32257257257257144,0.33650316983650297,0.06851295740184571,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Foliage gleaners,Thrushes,Foliage gleaners | Thrushes,36,Supported positive,3,0.31135765395024645,0.26676676676676647,0.3704537871204544,2.1773612861441993,0.3704537871204544,0,TRUE,FALSE,0.26676676676676647,0.2968524079635184,0.3704537871204544,0.10368702035368793,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Aquatic pursuers,Shrikes,Aquatic pursuers | Shrikes,12,Supported positive,3,-0.49427204982760586,-0.5734067400734083,-0.4034868201534876,2.137460092578932,0.5734067400734083,0,FALSE,TRUE,-0.4034868201534876,-0.5734067400734083,-0.5059225892559217,-0.10243576910243413,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Owls,Terns,Owls | Terns,25,Supported positive,3,-0.3563029696363021,-0.4222222222222223,-0.278638638638638,2.133733852783978,0.4222222222222223,0,FALSE,TRUE,-0.278638638638638,-0.36804804804804603,-0.4222222222222223,-0.14358358358358425,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Foliage gleaners,Rails,Foliage gleaners | Rails,45,Supported positive,3,0.26708189671152627,0.25149594038482903,0.28170392614837003,2.0692097406178265,0.28170392614837003,0,TRUE,FALSE,0.28170392614837003,0.26804582360137974,0.25149594038482903,-0.030207985763541,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Within group,Dabbling ducks,Dabbling ducks,Dabbling ducks,21,Supported positive,3,0.40701018478796347,0.35487868821202284,0.44015444015444083,2.0631657460071993,0.44015444015444083,0,TRUE,FALSE,0.44015444015444083,0.35487868821202284,0.42599742599742674,-0.014157014157014092,FALSE,Consistently above null,FALSE
foraging_guild,Foraging guild,Between group,Aquatic pursuers,Woodpeckers,Aquatic pursuers | Woodpeckers,30,Supported positive,3,-0.3080080080080085,-0.3542208875542216,-0.27834501167834497,2.0558154399512816,0.3542208875542216,0,FALSE,TRUE,-0.2914581247914589,-0.3542208875542216,-0.27834501167834497,0.013113113113113917,FALSE,Consistently below null,FALSE
foraging_guild,Foraging guild,Between group,Passerine seedeaters,Terns,Passerine seedeaters | Terns,60,Supported positive,3,-0.27251140028917825,-0.3246913580246922,-0.2292792792792792,2.0357444995015195,0.3246913580246922,0,FALSE,TRUE,-0.2635635635635634,-0.2292792792792792,-0.3246913580246922,-0.06112779446112876,FALSE,Consistently below null,FALSE
