"survey","site","rarity_score","rarity_percentile","rarity_rank","is_top_decile","tmean_year","tmean_winter","tmean_breeding","prec_year","prec_winter","prec_breeding","hh","unique","perc_urban","perc_cropland","perc_pasture","perc_forest","perc_grass_shrub","perc_fresh_saltwater","hotspot_group","dominant_landcover"
"FH21_3","FH21",0.194737714661866,0.960588544403573,76,TRUE,10.0636971790346,2.46086753700496,10.0153938315641,497.971872603356,117.105587882838,195.590245950291,0.65372400140441,6,0,0.42049089649402,0.048282882120656,0.0176786007696942,0.0409933533722885,0.472554267243341,"Top-decile rarity hotspots","Fresh/saltwater"
"GE13_3","GE13",0.194705549010899,0.960063058328954,77,TRUE,9.36225188571744,1.33221944113741,9.54408599251932,493.198759072784,116.463013019903,188.869845978749,0.759054709337032,5,0.124531413078861,0.184355348399132,0.163747359344655,0.366739610994641,0.160626268182711,0,"Top-decile rarity hotspots","Forest"
"CG54_3","CG54",0.194586178987472,0.959537572254335,78,TRUE,9.77762855826553,2.06405655920399,9.7707973045226,645.756052317437,172.688078118662,228.185253662395,0.801663448422394,6,0.238978935642639,0.283056137327222,0.146128003680722,0.124822251468395,0.133950670040662,0.0730640018403608,"Top-decile rarity hotspots","Cropland"
"GF27_3","GF27",0.193485652159828,0.959012086179716,79,TRUE,9.33366814411736,1.42461056874172,9.43326577352007,520.99729619114,126.493407211979,197.735655247846,0.681647879701362,4,0.352181006947428,0,0,0.375929843866501,0.0487093307412203,0.22317981844485,"Top-decile rarity hotspots","Forest"
"CC91_3","CC91",0.191928693234913,0.958486600105097,80,TRUE,9.34204956352809,1.83729139264407,9.39558116045054,536.309823371088,147.351426212661,203.344512172379,0.426437362024247,3,0.136624732362396,0.733505371947714,0,0.12986989568989,0,0,"Top-decile rarity hotspots","Cropland"
"BG62_3","BG62",0.191324618917742,0.957961114030478,81,TRUE,10.1130083939072,2.79242944562726,9.89609726881809,654.789741144634,160.845417393169,226.848411792913,0.567690345717909,7,0.0615577762651037,0.610940054166423,0.220096051610904,0.0257292964762584,0.0342864820780006,0.0473903394033097,"Top-decile rarity hotspots","Cropland"
"FG63_3","FG63",0.19088192860876,0.957435627955859,82,TRUE,9.70670450097595,2.20742030210258,9.58198102610684,522.625271844,129.766710750948,194.113267281975,0.341151746714846,4,0.146128018855242,0.796694171922566,0,0.00472888699283101,0.0524489222293612,0,"Top-decile rarity hotspots","Cropland"
"BD73_3","BD73",0.190744547583552,0.95691014188124,83,TRUE,9.71953608047108,2.50530390234321,9.58660041941725,610.728227338925,173.881365200985,215.594483095189,0.710622289031351,7,0.0679774743780186,0.340994379224013,0.392141848321952,0.0332364478683682,0.0623662149731495,0.103283635234499,"Top-decile rarity hotspots","Pasture"
"DC00_3","DC00",0.189278436570043,0.956384655806621,84,TRUE,9.41354993599338,1.87177146861277,9.49021580520725,506.360932572772,137.660334344612,192.949635704563,0.645667368387116,5,0.103015627346373,0.243629556423764,0.0398662820913845,0.524220288925211,0.0892682452132675,0,"Top-decile rarity hotspots","Forest"
"GH19_3","GH19",0.188463536136856,0.955859169732002,85,TRUE,9.84671416738919,2.39610354237536,9.67275355792761,500.004345011679,121.143132875545,189.320029533017,0.573890058310505,4,0.0052193571246569,0.464567164108367,0,0,0,0.530213478766977,"Top-decile rarity hotspots","Fresh/saltwater"
"DF80_3","DF80",0.188333078718958,0.955333683657383,86,TRUE,9.88329896916119,2.65403256799673,9.74177788037337,489.21711619153,126.152104430817,184.431540399614,0.723858905153654,7,0.134345168831463,0.428843218165268,0.0987409931714042,0.0243546678508959,0.0487093357017919,0.265006616279177,"Top-decile rarity hotspots","Cropland"
