"survey","site","atlas","period","X","Y","species_richness","rarity_score","rarity_percentile","rarity_rank","is_top_decile"
"DC64_3","DC64","3","2010s",582499.776571917,6322500.02320032,81,0.145633624734996,0.910141881240147,172,TRUE
"GF39_3","GF39","3","2010s",717500.444643591,6197499.86526017,84,0.145533713086715,0.909616395165528,173,TRUE
"BF64_3","BF64","3","2010s",482500.086261335,6172499.74789154,50,0.144810318397383,0.909090909090909,174,TRUE
"GF28_3","GF28","3","2010s",712500.389310185,6192499.78054668,79,0.144677476137437,0.90856542301629,175,TRUE
"DB83_3","DB83","3","2010s",592499.43704912,6367499.86780233,71,0.144035618211805,0.908039936941671,176,TRUE
"FH64_3","FH64","3","2010s",682500.139190177,6072499.58097752,73,0.143599935880612,0.907514450867052,177,TRUE
"GG17_3","GG17","3","2010s",707500.326720654,6137499.62452091,62,0.14353585449121,0.906988964792433,178,TRUE
"BC33_3","BC33","3","2010s",467500.061623323,6317499.67391025,54,0.143410286586843,0.906463478717814,179,TRUE
"GH49_3","GH49","3","2010s",722500.216261824,6097499.37218974,79,0.143080278142957,0.905937992643195,180,TRUE
"FE91_3","FE91","3","2010s",697500.396569192,6207499.84091617,94,0.142702912583766,0.905412506568576,181,TRUE
"CH77_3","CH77","3","2010s",537500.117400458,6087499.85725901,85,0.14112141874508,0.904887020493957,182,TRUE
"FF46_3","FF46","3","2010s",672500.281736928,6182499.81828486,69,0.141031733548604,0.904361534419338,183,TRUE
"FH46_3","FH46","3","2010s",672500.151375997,6082499.63969187,78,0.140987386662856,0.903836048344719,184,TRUE
"BD05_3","BD05","3","2010s",452499.985355781,6277499.71096541,61,0.14072103686675,0.9033105622701,185,TRUE
"BC75_3","BC75","3","2010s",487500.081769049,6327499.65441771,72,0.140716849837116,0.902785076195481,186,TRUE
"CD95_3","CD95","3","2010s",547499.791720618,6277499.82580114,89,0.140619929737949,0.902259590120862,187,TRUE
"DB67_3","DB67","3","2010s",582499.477677532,6387499.59447072,84,0.14056540902294,0.901734104046243,188,TRUE
"DH86_3","DH86","3","2010s",592500.142276862,6082499.83167894,66,0.140334008407442,0.901208617971624,189,TRUE
"FH08_3","FH08","3","2010s",652500.232585674,6092499.58130341,73,0.14018257546666,0.900683131897005,190,TRUE
"BF32_3","BF32","3","2010s",467500.082873193,6162499.86969482,85,0.139928780783968,0.900157645822386,191,TRUE
"CF64_3","CF64","3","2010s",532500.03318723,6172499.88296944,76,0.139927777678636,0.899632159747767,192,FALSE
"CC30_3","CC30","3","2010s",517499.937743111,6302499.73444826,71,0.139856222082617,0.899106673673148,193,FALSE
"EG10_3","EG10","3","2010s",607500.17680912,6102499.81805162,87,0.139655508039653,0.898581187598529,194,FALSE
"CG62_3","CG62","3","2010s",532500.118007768,6112499.82348334,77,0.138994451946357,0.89805570152391,195,FALSE
"DG94_3","DG94","3","2010s",597500.125628849,6122499.83643639,86,0.138121597390322,0.897530215449291,196,FALSE
"FH95_3","FH95","3","2010s",697500.150730151,6077499.5426887,55,0.138024120082178,0.897004729374672,197,FALSE
"BC22_3","BC22","3","2010s",462500.03510178,6312499.73152781,61,0.13787907013137,0.896479243300053,198,FALSE
"EH09_3","EH09","3","2010s",602500.184743664,6097499.74977985,64,0.137644041015431,0.895953757225434,199,FALSE
"DC50_3","DC50","3","2010s",577499.82677594,6302500.00697177,78,0.137101013506078,0.895428271150814,200,FALSE
"AF81_3","AF81","3","2010s",442500.138477192,6157499.78744643,55,0.137063739172431,0.894902785076195,201,FALSE
"EH24_3","EH24","3","2010s",612500.212235677,6072499.81195039,62,0.137047002481172,0.894377299001576,202,FALSE
"CG05_3","CG05","3","2010s",502500.055052022,6127499.89971113,89,0.136684706767615,0.893851812926957,203,FALSE
"FF97_3","FF97","3","2010s",697500.300321151,6187499.78347619,75,0.1362957903071,0.893326326852338,204,FALSE
"DG95_3","DG95","3","2010s",597500.175222681,6127499.859382,87,0.136113687116554,0.892800840777719,205,FALSE
"HA53_3","HA53","3","2010s",890423.432246395,6119606.43218538,65,0.136110784556715,0.8922753547031,206,FALSE
"FH71_3","FH71","3","2010s",687500.123673068,6057499.55457432,80,0.135954670741143,0.891749868628481,207,FALSE
