"survey","site","atlas","period","warbler_richness"
"DH37_1","DH37","1","1970s",8
"DH38_1","DH38","1","1970s",0
"DH49_1","DH49","1","1970s",5
"DH57_1","DH57","1","1970s",0
"DH58_1","DH58","1","1970s",0
"DH59_1","DH59","1","1970s",4
"DH66_1","DH66","1","1970s",1
"DH67_1","DH67","1","1970s",2
"DH69_1","DH69","1","1970s",5
"BD68_1","BD68","1","1970s",7
"DH75_1","DH75","1","1970s",3
"DH76_1","DH76","1","1970s",5
"DH77_1","DH77","1","1970s",0
"DH78_1","DH78","1","1970s",4
"DH79_1","DH79","1","1970s",6
"DH85_1","DH85","1","1970s",4
"DH86_1","DH86","1","1970s",7
"DH87_1","DH87","1","1970s",0
"DH88_1","DH88","1","1970s",6
"DH89_1","DH89","1","1970s",1
"BD69_1","BD69","1","1970s",8
"DH95_1","DH95","1","1970s",5
"DH96_1","DH96","1","1970s",6
"DH97_1","DH97","1","1970s",2
"DH98_1","DH98","1","1970s",10
"DH99_1","DH99","1","1970s",11
"ED00_1","ED00","1","1970s",9
"ED01_1","ED01","1","1970s",10
"ED02_1","ED02","1","1970s",4
"ED03_1","ED03","1","1970s",3
"EE08_1","EE08","1","1970s",10
"AE94_1","AE94","1","1970s",5
"BD70_1","BD70","1","1970s",9
"EE09_1","EE09","1","1970s",9
"EB01_1","EB01","1","1970s",7
"EB02_1","EB02","1","1970s",0
"EB03_1","EB03","1","1970s",8
"EB04_1","EB04","1","1970s",8
"EB05_1","EB05","1","1970s",2
"EB06_1","EB06","1","1970s",3
"EB07_1","EB07","1","1970s",10
"EB08_1","EB08","1","1970s",8
"EB09_1","EB09","1","1970s",4
"BD71_1","BD71","1","1970s",7
"EB10_1","EB10","1","1970s",6
"EB11_1","EB11","1","1970s",4
"EB12_1","EB12","1","1970s",4
"EB13_1","EB13","1","1970s",1
"EB14_1","EB14","1","1970s",0
"ED10_1","ED10","1","1970s",7
"ED11_1","ED11","1","1970s",5
"ED12_1","ED12","1","1970s",5
"ED13_1","ED13","1","1970s",9
"ED20_1","ED20","1","1970s",5
"BD72_1","BD72","1","1970s",6
"ED21_1","ED21","1","1970s",7
"ED22_1","ED22","1","1970s",6
"ED23_1","ED23","1","1970s",10
"ED30_1","ED30","1","1970s",9
"ED31_1","ED31","1","1970s",7
"ED32_1","ED32","1","1970s",1
"ED41_1","ED41","1","1970s",2
"EE04_1","EE04","1","1970s",6
"EE05_1","EE05","1","1970s",6
"EE06_1","EE06","1","1970s",3
"BD73_1","BD73","1","1970s",9
"EE07_1","EE07","1","1970s",11
"EE14_1","EE14","1","1970s",8
"EE15_1","EE15","1","1970s",3
"EE16_1","EE16","1","1970s",9
"EE17_1","EE17","1","1970s",7
"EE18_1","EE18","1","1970s",5
"EE19_1","EE19","1","1970s",5
"EE20_1","EE20","1","1970s",6
"EE24_1","EE24","1","1970s",10
"EE26_1","EE26","1","1970s",0
"BD74_1","BD74","1","1970s",5
"EE27_1","EE27","1","1970s",8
"EE28_1","EE28","1","1970s",9
"EE29_1","EE29","1","1970s",3
"EE38_1","EE38","1","1970s",11
"EE39_1","EE39","1","1970s",9
"EE81_1","EE81","1","1970s",7
"EE90_1","EE90","1","1970s",7
"EE91_1","EE91","1","1970s",8
"EF00_1","EF00","1","1970s",8
"EF01_1","EF01","1","1970s",9
"BD75_1","BD75","1","1970s",3
"EF02_1","EF02","1","1970s",10
"EF06_1","EF06","1","1970s",9
"EF07_1","EF07","1","1970s",9
"EF08_1","EF08","1","1970s",9
"EF09_1","EF09","1","1970s",9
"EF10_1","EF10","1","1970s",5
"EF11_1","EF11","1","1970s",8
"EF19_1","EF19","1","1970s",1
"EF20_1","EF20","1","1970s",10
"EF35_1","EF35","1","1970s",11
"BD76_1","BD76","1","1970s",9
"EF44_1","EF44","1","1970s",9
"EF45_1","EF45","1","1970s",7
"EF53_1","EF53","1","1970s",8
"EF54_1","EF54","1","1970s",10
"EF55_1","EF55","1","1970s",9
"EF60_1","EF60","1","1970s",5
"EF61_1","EF61","1","1970s",7
"EF63_1","EF63","1","1970s",8
"EF64_1","EF64","1","1970s",9
"EF65_1","EF65","1","1970s",8
"BD77_1","BD77","1","1970s",10
"EF66_1","EF66","1","1970s",1
"EF68_1","EF68","1","1970s",0
"EF69_1","EF69","1","1970s",8
"EF70_1","EF70","1","1970s",10
"EF71_1","EF71","1","1970s",11
"EF72_1","EF72","1","1970s",7
"EF73_1","EF73","1","1970s",9
"EF74_1","EF74","1","1970s",11
"EF75_1","EF75","1","1970s",11
"EF76_1","EF76","1","1970s",1
"BD78_1","BD78","1","1970s",9
"EF78_1","EF78","1","1970s",5
"EF79_1","EF79","1","1970s",0
"EF80_1","EF80","1","1970s",6
"EF81_1","EF81","1","1970s",10
"EF82_1","EF82","1","1970s",9
"EF83_1","EF83","1","1970s",11
"EF84_1","EF84","1","1970s",11
"EF85_1","EF85","1","1970s",4
"EF86_1","EF86","1","1970s",6
"EF87_1","EF87","1","1970s",5
"BD79_1","BD79","1","1970s",8
"EF90_1","EF90","1","1970s",9
"EF91_1","EF91","1","1970s",11
"EF92_1","EF92","1","1970s",11
"EF93_1","EF93","1","1970s",12
"EF94_1","EF94","1","1970s",11
"EF95_1","EF95","1","1970s",11
"EF96_1","EF96","1","1970s",7
"EF97_1","EF97","1","1970s",10
"EF98_1","EF98","1","1970s",10
"EG00_1","EG00","1","1970s",10
"AE95_1","AE95","1","1970s",7
"BD80_1","BD80","1","1970s",5
"EG01_1","EG01","1","1970s",6
"EG02_1","EG02","1","1970s",6
"EG03_1","EG03","1","1970s",9
"EG04_1","EG04","1","1970s",12
"EG05_1","EG05","1","1970s",8
"EG06_1","EG06","1","1970s",11
"EG07_1","EG07","1","1970s",9
"EG08_1","EG08","1","1970s",9
"EG09_1","EG09","1","1970s",7
"EG10_1","EG10","1","1970s",8
"BD81_1","BD81","1","1970s",6
"EG11_1","EG11","1","1970s",10
"EG12_1","EG12","1","1970s",11
"EG13_1","EG13","1","1970s",11
"EG14_1","EG14","1","1970s",9
"EG15_1","EG15","1","1970s",10
"EG16_1","EG16","1","1970s",7
"EG17_1","EG17","1","1970s",10
"EG18_1","EG18","1","1970s",10
"EG19_1","EG19","1","1970s",4
"EG21_1","EG21","1","1970s",9
"BD82_1","BD82","1","1970s",9
"EG22_1","EG22","1","1970s",9
"EG23_1","EG23","1","1970s",11
"EG24_1","EG24","1","1970s",12
"EG25_1","EG25","1","1970s",11
"EG26_1","EG26","1","1970s",12
"EG27_1","EG27","1","1970s",9
"EG30_1","EG30","1","1970s",8
"EG31_1","EG31","1","1970s",5
"EG33_1","EG33","1","1970s",6
"EG34_1","EG34","1","1970s",10
"BD83_1","BD83","1","1970s",6
"EG35_1","EG35","1","1970s",11
"EG36_1","EG36","1","1970s",10
"EG40_1","EG40","1","1970s",8
"EG41_1","EG41","1","1970s",10
"EG42_1","EG42","1","1970s",9
"EG44_1","EG44","1","1970s",0
"EG46_1","EG46","1","1970s",10
"EG67_1","EG67","1","1970s",10
"EG72_1","EG72","1","1970s",7
"EG73_1","EG73","1","1970s",8
"BD84_1","BD84","1","1970s",7
"EG74_1","EG74","1","1970s",9
"EG76_1","EG76","1","1970s",11
"EG77_1","EG77","1","1970s",11
"EG78_1","EG78","1","1970s",1
"EG79_1","EG79","1","1970s",8
"EG83_1","EG83","1","1970s",8
"EG84_1","EG84","1","1970s",11
"EG85_1","EG85","1","1970s",10
