"survey","site","atlas","period","model_year","species_richness","raw_species_pool_size","analysis_set"
"BG87_1","BG87","1","1970s",1971,40,201,"All model-included surveys"
"BG87_2","BG87","2","1990s",1992,64,201,"All model-included surveys"
"BG87_3","BG87","3","2010s",2014,51,201,"All model-included surveys"
"BG88_2","BG88","2","1990s",1992,14,201,"All model-included surveys"
"BG88_3","BG88","3","2010s",2014,54,201,"All model-included surveys"
"BG89_1","BG89","1","1970s",1971,38,201,"All model-included surveys"
"BG89_2","BG89","2","1990s",1992,38,201,"All model-included surveys"
"BG89_3","BG89","3","2010s",2014,49,201,"All model-included surveys"
"BG90_1","BG90","1","1970s",1971,62,201,"All model-included surveys"
"BG90_2","BG90","2","1990s",1992,66,201,"All model-included surveys"
"BG90_3","BG90","3","2010s",2014,59,201,"All model-included surveys"
"BG91_1","BG91","1","1970s",1971,52,201,"All model-included surveys"
"BG91_2","BG91","2","1990s",1992,48,201,"All model-included surveys"
"BG91_3","BG91","3","2010s",2014,69,201,"All model-included surveys"
"BG92_1","BG92","1","1970s",1971,57,201,"All model-included surveys"
"BG92_2","BG92","2","1990s",1992,64,201,"All model-included surveys"
"BG92_3","BG92","3","2010s",2014,80,201,"All model-included surveys"
"BG93_1","BG93","1","1970s",1971,66,201,"All model-included surveys"
"BG93_2","BG93","2","1990s",1992,65,201,"All model-included surveys"
"BG93_3","BG93","3","2010s",2014,84,201,"All model-included surveys"
"BG94_1","BG94","1","1970s",1971,43,201,"All model-included surveys"
"BG94_2","BG94","2","1990s",1992,45,201,"All model-included surveys"
"BG94_3","BG94","3","2010s",2014,69,201,"All model-included surveys"
"BG95_1","BG95","1","1970s",1971,48,201,"All model-included surveys"
"BG95_2","BG95","2","1990s",1992,79,201,"All model-included surveys"
"BG95_3","BG95","3","2010s",2014,76,201,"All model-included surveys"
"BG96_1","BG96","1","1970s",1971,45,201,"All model-included surveys"
"BG96_2","BG96","2","1990s",1992,54,201,"All model-included surveys"
"BG96_3","BG96","3","2010s",2014,46,201,"All model-included surveys"
"BG97_2","BG97","2","1990s",1992,53,201,"All model-included surveys"
"BG97_3","BG97","3","2010s",2014,49,201,"All model-included surveys"
"BG98_1","BG98","1","1970s",1971,43,201,"All model-included surveys"
"BG98_2","BG98","2","1990s",1992,60,201,"All model-included surveys"
"BG98_3","BG98","3","2010s",2014,51,201,"All model-included surveys"
"BG99_1","BG99","1","1970s",1971,50,201,"All model-included surveys"
"BG99_2","BG99","2","1990s",1992,52,201,"All model-included surveys"
"BG99_3","BG99","3","2010s",2014,45,201,"All model-included surveys"
"BH57_1","BH57","1","1970s",1971,68,201,"All model-included surveys"
"BH57_2","BH57","2","1990s",1992,69,201,"All model-included surveys"
"BH57_3","BH57","3","2010s",2014,49,201,"All model-included surveys"
"BH58_1","BH58","1","1970s",1971,58,201,"All model-included surveys"
"BH58_2","BH58","2","1990s",1992,41,201,"All model-included surveys"
"BH58_3","BH58","3","2010s",2014,59,201,"All model-included surveys"
"BH59_1","BH59","1","1970s",1971,55,201,"All model-included surveys"
