species,comparison,n_common_sites,occupied_cells_1970s,occupied_cells_1990s,gained_cells,lost_cells,retained_cells,absent_in_both_cells,changed_cells,turnover_fraction_of_common_sites,net_cell_change,absolute_net_cell_change,occupancy_fraction_1970s,occupancy_fraction_1990s,sorensen_dissimilarity,direction,foraging_guild,migration_strategy,species_thermal_index,species_label
Troglodytes_troglodytes,1970s to 1990s,1726,1549,1695,166,20,1529,11,186,0.10776361529548088,146,146,0.8974507531865585,0.9820393974507532,0.05733662145499385,More occupied cells in 1990s,Low flycatching feeders,sedentary,12.2368253494,Troglodytes troglodytes
Oriolus_oriolus,1970s to 1990s,1726,173,59,36,150,23,1517,186,0.10776361529548088,-114,114,0.10023174971031286,0.034183082271147164,0.8017241379310345,Fewer occupied cells in 1990s,Orioles,long-distance,13.4707159049,Oriolus oriolus
Larus_canus,1970s to 1990s,1726,203,212,96,87,116,1427,183,0.10602549246813442,9,9,0.11761297798377753,0.12282734646581692,0.4409638554216867,More occupied cells in 1990s,Gulls,sedentary and short-distance,8.5740563147,Larus canus
Turdus_philomelos,1970s to 1990s,1726,1591,1624,107,74,1517,28,181,0.10486674391657011,33,33,0.921784472769409,0.9409038238702202,0.056298600311041946,More occupied cells in 1990s,Thrushes,short-distance,11.3956704897,Turdus philomelos
Lullula_arborea,1970s to 1990s,1726,119,138,96,77,42,1511,173,0.10023174971031286,19,19,0.06894553881807648,0.07995365005793743,0.6731517509727627,More occupied cells in 1990s,Open-land insectivores,short-distance,13.4719748078,Lullula arborea
Certhia_brachydactyla,1970s to 1990s,1726,31,189,165,7,24,1530,172,0.0996523754345307,158,158,0.017960602549246814,0.10950173812282735,0.7818181818181819,More occupied cells in 1990s,Tit-like birds,sedentary,13.8972978687,Certhia brachydactyla
Jynx_torquilla,1970s to 1990s,1726,129,91,66,104,25,1531,170,0.0984936268829664,-38,38,0.07473928157589803,0.05272305909617613,0.7727272727272727,Fewer occupied cells in 1990s,Woodpeckers,short-distance,11.8812540667,Jynx torquilla
Curruca_communis,1970s to 1990s,1726,1603,1671,118,50,1553,5,168,0.09733487833140209,68,68,0.9287369640787949,0.9681344148319815,0.051313378130726894,More occupied cells in 1990s,Foliage gleaners,long-distance,12.6535890847,Curruca communis
Alcedo_atthis,1970s to 1990s,1726,105,150,101,56,49,1520,157,0.09096176129779837,45,45,0.060834298957126304,0.08690614136732329,0.615686274509804,More occupied cells in 1990s,Kingfishers,sedentary,13.5319163712,Alcedo atthis
Caprimulgus_europaeus,1970s to 1990s,1726,141,110,57,88,53,1528,145,0.08400926998841252,-31,31,0.0816917728852839,0.06373117033603708,0.5776892430278884,Fewer occupied cells in 1990s,Nigthjars,long-distance,13.110333547,Caprimulgus europaeus
