comparison,transition,source_cluster,target_cluster,species,n_sites,mean_probability_from,mean_probability_to,mean_probability_delta,median_probability_delta,q10_probability_delta,q90_probability_delta,mean_probability_gain,mean_probability_loss,prop_sites_increase,thermal_group,migratory_strategy,foraging_guild,species_thermal_index,driver_direction,species_label
2010s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Perdix_perdix,245,0.7232711127193046,0.42722340910483714,-0.29604770361446747,-0.29296451772045345,-0.550577489143274,-0.03912729721465544,0.007568521031558844,-0.30361622464602633,0.07346938775510205,warm,sedentary,Gallinaceous birds,12.8463889005,Loss,Perdix perdix
2010s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Tringa_totanus,245,0.6963755732431209,0.4129346726534386,-0.28344090058968235,-0.2781482109670914,-0.6051816088198199,0.0331457697365195,0.012841882553758358,-0.2962827831434407,0.1306122448979592,cold,short-distance,Scolopacids,11.0359375128,Loss,Tringa totanus
2010s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Oenanthe_oenanthe,245,0.3400767437957461,0.06342463620084828,-0.27665210759489783,-0.24254987210181225,-0.5362910265275656,-0.07811055706048185,4.140950779323302e-5,-0.2766935171026911,0.00816326530612245,cold,long-distance,Low flycatching feeders,11.6202368597,Loss,Oenanthe oenanthe
2010s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Saxicola_rubetra,245,0.5877630192438346,0.35407942159473893,-0.2336835976490957,-0.21922136534365821,-0.5328432091951181,0.026166117161169317,0.01251494066521535,-0.24619853831431107,0.11428571428571428,cold,long-distance,Low flycatching feeders,11.2990488425,Loss,Saxicola rubetra
2010s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Riparia_riparia,245,0.5401522439699585,0.3077242607352128,-0.23242798323474567,-0.2146594799037328,-0.4444715149808923,-0.02639747848742218,0.004717208802932778,-0.23714519203767845,0.061224489795918366,medium,long-distance,Aerial insectivores,11.9550761988,Loss,Riparia riparia
2010s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Charadrius_hiaticula,245,0.47161861595366766,0.2819921775899417,-0.18962643836372595,-0.17954909877869796,-0.45555056668864324,0.05108026451473063,0.013463303007857984,-0.20308974137158392,0.18775510204081633,very cold,short-distance,Plovers,8.2214626932,Loss,Charadrius hiaticula
2010s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Emberiza_calandra,245,0.8411234672149511,0.6731322006846726,-0.16799126653027857,-0.07250964957572126,-0.5467536296775598,0.08930985998719368,0.02553317756801582,-0.19352444409829445,0.3142857142857143,very warm,sedentary,Buntings,14.2313581317,Loss,Emberiza calandra
2010s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Athene_noctua,245,0.17466755622607877,0.011072140754591816,-0.16359541547148695,-0.10845934555854322,-0.414653648021451,-0.016639307719513406,9.26836698110939e-6,-0.16360468383846807,0.00816326530612245,very warm,sedentary,Owls,14.2083192272,Loss,Athene noctua
2010s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Anas_crecca,245,0.19665481444823033,0.038317591701244234,-0.15833722274698608,-0.11709429476477179,-0.38372548990916233,-0.008864718593435298,7.652139119337772e-4,-0.15910243665891985,0.05714285714285714,very cold,short-distance,Dabbling ducks,10.071290709,Loss,Anas crecca
2010s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Circus_aeruginosus,245,0.0982701292672105,0.45399469311517593,0.3557245638479654,0.34630614832172235,0.08237412766594521,0.6664867431736714,0.3622263136319755,-0.006501749784010018,0.9673469387755103,very warm,short-and long-distance,Diurnal raptors,13.2259231132,Gain,Circus aeruginosus
2010s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Carduelis_carduelis,245,0.43172698704163426,0.7987652852978362,0.367038298256202,0.39781977840771104,0.046668458129066996,0.6543703006981252,0.3726814502884667,-0.005643152032264771,0.9346938775510204,very warm,sedentary and short-distance,Passerine seedeaters,13.4542440183,Gain,Carduelis carduelis
2010s minus 1970s,Cluster 1 to Cluster 2,Cluster 1,Cluster 2,Acanthis_flammea,245,0.09968260529485869,0.5184973632414213,0.41881475794656264,0.43398812344017884,0.13106018708930928,0.6666972590035858,0.41930914913470646,-4.943911881438566e-4,0.9877551020408163,very cold,short-distance,Passerine seedeaters,8.1923087262,Gain,Acanthis flammea
