site,survey_from,survey_to,bioregion_1,bioregion_3,atlas.x,atlas.y,variable,from,to,delta_raw,variable_label,national_mean_delta,national_median_delta,national_sd_delta,delta_relative_to_national
EG97,EG97_1,EG97_3,Cluster 1,Cluster 2,1,3,tmean_breeding,8.28417127891775,9.56014295497242,1.2759716760546702,Temperature,1.166075574822343,1.1432688239924493,0.08658277654253788,1.5326703226827605
EG97,EG97_1,EG97_3,Cluster 1,Cluster 2,1,3,prec_breeding,114.029767058947,187.850564318723,73.820797259776,Precipitation,76.22566845605704,75.44205569385801,10.600787063580594,-0.15293755306640425
EG97,EG97_1,EG97_3,Cluster 1,Cluster 2,1,3,hh,0.0299284998946008,0.0792138164816748,0.049285316587074,Land-use heterogeneity,0.062003502519162035,0.020709709646520247,0.12453054756068756,0.22946664493407118
EG97,EG97_1,EG97_3,Cluster 1,Cluster 2,1,3,perc_urban,0.0151951422967179,0.00506504743220732,-0.01013009486451058,Urban,0.018701331002944264,0,0.04401874318659405,-0.23013139701807092
EG97,EG97_1,EG97_3,Cluster 1,Cluster 2,1,3,perc_cropland,0.984804857703282,0.958402951239407,-0.02640190646387497,Cropland,-0.056888334729859956,-0.025302527806218,0.11283135998622783,-0.009743555849997363
EG97,EG97_1,EG97_3,Cluster 1,Cluster 2,1,3,perc_pasture,0,0.0365320013283853,0.0365320013283853,Pasture,-0.0030859163253946125,0,0.06411020342686834,0.5698313119542353
EG97,EG97_1,EG97_3,Cluster 1,Cluster 2,1,3,perc_forest,0,0,0,Forest,0.027693910910736398,0,0.07188363908141222,0
EG97,EG97_1,EG97_3,Cluster 1,Cluster 2,1,3,perc_grass_shrub,0,0,0,Grass/Shrubland,0.012991395739266822,0,0.09111115912383148,0
EG98,EG98_1,EG98_3,Cluster 2,Cluster 2,1,3,tmean_breeding,8.25483434482692,9.528933074521,1.2740987296940798,Temperature,1.166075574822343,1.1432688239924493,0.08658277654253788,1.5110384642995836
EG98,EG98_1,EG98_3,Cluster 2,Cluster 2,1,3,prec_breeding,113.039104006401,188.341400825132,75.30229681873101,Precipitation,76.22566845605704,75.44205569385801,10.600787063580594,-0.013183820624710746
EG98,EG98_1,EG98_3,Cluster 2,Cluster 2,1,3,hh,0.501653951255699,0.508871289884972,0.007217338629272985,Land-use heterogeneity,0.062003502519162035,0.020709709646520247,0.12453054756068756,-0.10834587401675091
EG98,EG98_1,EG98_3,Cluster 2,Cluster 2,1,3,perc_urban,0.560784948959408,0.522205708746999,-0.038579240212408994,Urban,0.018701331002944264,0,0.04401874318659405,-0.8764275719748023
EG98,EG98_1,EG98_3,Cluster 2,Cluster 2,1,3,perc_cropland,0.428666559329649,0.467245799542058,0.03857924021240905,Cropland,-0.056888334729859956,-0.025302527806218,0.11283135998622783,0.5661703273489254
EG98,EG98_1,EG98_3,Cluster 2,Cluster 2,1,3,perc_pasture,0.0105484917109434,0,-0.0105484917109434,Pasture,-0.0030859163253946125,0,0.06411020342686834,-0.16453686226368403
EG98,EG98_1,EG98_3,Cluster 2,Cluster 2,1,3,perc_forest,0,0.00791136878320752,0.00791136878320752,Forest,0.027693910910736398,0,0.07188363908141222,0.11005798933255806
EG98,EG98_1,EG98_3,Cluster 2,Cluster 2,1,3,perc_grass_shrub,0,0.00263712292773584,0.00263712292773584,Grass/Shrubland,0.012991395739266822,0,0.09111115912383148,0.02894401688108983
EG99,EG99_1,EG99_3,Cluster 2,Cluster 2,1,3,tmean_breeding,8.33134645432062,9.59085758818853,1.2595111338679104,Temperature,1.166075574822343,1.1432688239924493,0.08658277654253788,1.3425569670701367
EG99,EG99_1,EG99_3,Cluster 2,Cluster 2,1,3,prec_breeding,110.293061990908,182.091803212199,71.79874122129101,Precipitation,76.22566845605704,75.44205569385801,10.600787063580594,-0.3436833935740247
EG99,EG99_1,EG99_3,Cluster 2,Cluster 2,1,3,hh,0,0,0,Land-use heterogeneity,0.062003502519162035,0.020709709646520247,0.12453054756068756,-0.16630224512927455
EG99,EG99_1,EG99_3,Cluster 2,Cluster 2,1,3,perc_urban,0,0,0,Urban,0.018701331002944264,0,0.04401874318659405,0
EG99,EG99_1,EG99_3,Cluster 2,Cluster 2,1,3,perc_cropland,1,1,0,Cropland,-0.056888334729859956,-0.025302527806218,0.11283135998622783,0.22425084488307526
EG99,EG99_1,EG99_3,Cluster 2,Cluster 2,1,3,perc_pasture,0,0,0,Pasture,-0.0030859163253946125,0,0.06411020342686834,0
EG99,EG99_1,EG99_3,Cluster 2,Cluster 2,1,3,perc_forest,0,0,0,Forest,0.027693910910736398,0,0.07188363908141222,0
EG99,EG99_1,EG99_3,Cluster 2,Cluster 2,1,3,perc_grass_shrub,0,0,0,Grass/Shrubland,0.012991395739266822,0,0.09111115912383148,0
BD86,BD86_1,BD86_3,Cluster 1,Cluster 1,1,3,tmean_breeding,8.48748110408287,9.54653771319353,1.0590566091106606,Temperature,1.166075574822343,1.1432688239924493,0.08658277654253788,-0.9726208634625564
BD86,BD86_1,BD86_3,Cluster 1,Cluster 1,1,3,prec_breeding,133.945845431502,211.822371247273,77.876525815771,Precipitation,76.22566845605704,75.44205569385801,10.600787063580594,0.2296499408309699
BD86,BD86_1,BD86_3,Cluster 1,Cluster 1,1,3,hh,0.757615838029026,0.741871416068987,-0.015744421960039,Land-use heterogeneity,0.062003502519162035,0.020709709646520247,0.12453054756068756,-0.29273244453369185
BD86,BD86_1,BD86_3,Cluster 1,Cluster 1,1,3,perc_urban,0.0283464134295399,0.0283464134295399,0,Urban,0.018701331002944264,0,0.04401874318659405,0
BD86,BD86_1,BD86_3,Cluster 1,Cluster 1,1,3,perc_cropland,0.388626093949255,0.413812416284064,0.025186322334808997,Cropland,-0.056888334729859956,-0.025302527806218,0.11283135998622783,0.44747178574458074
BD86,BD86_1,BD86_3,Cluster 1,Cluster 1,1,3,perc_pasture,0.120201451947274,0.119369797378811,-8.31654568463e-4,Pasture,-0.0030859163253946125,0,0.06411020342686834,-0.012972265318291858
BD86,BD86_1,BD86_3,Cluster 1,Cluster 1,1,3,perc_forest,0,0,0,Forest,0.027693910910736398,0,0.07188363908141222,0
BD86,BD86_1,BD86_3,Cluster 1,Cluster 1,1,3,perc_grass_shrub,0.0997747613973061,0.0754200936309601,-0.024354667766345997,Grass/Shrubland,0.012991395739266822,0,0.09111115912383148,-0.26730718828025174
EH08,EH08_1,EH08_3,Cluster 1,Cluster 2,1,3,tmean_breeding,8.57952351484239,9.86782705239255,1.2883035375501617,Temperature,1.166075574822343,1.1432688239924493,0.08658277654253788,1.675098897832841
EH08,EH08_1,EH08_3,Cluster 1,Cluster 2,1,3,prec_breeding,115.973810722902,189.773748263958,73.799937541056,Precipitation,76.22566845605704,75.44205569385801,10.600787063580594,-0.154905304950759
EH08,EH08_1,EH08_3,Cluster 1,Cluster 2,1,3,hh,0.509379223637425,0.327722201927672,-0.18165702170975306,Land-use heterogeneity,0.062003502519162035,0.020709709646520247,0.12453054756068756,-1.6250368710348262
EH08,EH08_1,EH08_3,Cluster 1,Cluster 2,1,3,perc_urban,0,0,0,Urban,0.018701331002944264,0,0.04401874318659405,0
EH08,EH08_1,EH08_3,Cluster 1,Cluster 2,1,3,perc_cropland,0.667838510072964,0.803842213790129,0.13600370371716497,Cropland,-0.056888334729859956,-0.025302527806218,0.11283135998622783,1.4296223278977758
