atlas,period,bioregion,trait_family,trait_value,expected_group_richness,mean_probability,n_species,n_sites,expected_total_richness_known_trait,proportion,percent
1,1970s,Cluster 1,Foraging guild,Cuckoos,349.0237238633285,0.8703833512801203,1,401,21445.77007779097,0.016274711637647092,1.6274711637647092
1,1970s,Cluster 1,Foraging guild,Grazing waterfowl,317.78796848549575,0.39624434973253847,2,401,21445.77007779097,0.014818212045208574,1.4818212045208574
1,1970s,Cluster 1,Foraging guild,Terns,313.38967689915546,0.1563040782539431,5,401,21445.77007779097,0.014613123043023703,1.4613123043023704
1,1970s,Cluster 1,Foraging guild,Owls,295.48453338473576,0.1473738321120879,5,401,21445.77007779097,0.01377821977541094,1.377821977541094
1,1970s,Cluster 1,Foraging guild,Gallinaceous birds,294.40475426249964,0.36708822227244303,2,401,21445.77007779097,0.013727870493556317,1.3727870493556318
1,1970s,Cluster 1,Foraging guild,Woodpeckers,188.6907097283454,0.09411007966501025,5,401,21445.77007779097,0.008798504742142678,0.8798504742142678
1,1970s,Cluster 1,Foraging guild,Flycatchers,171.52433253101063,0.14258049254448088,3,401,21445.77007779097,0.007998049587813102,0.7998049587813102
1,1970s,Cluster 1,Foraging guild,Diving ducks,150.91308076309528,0.1254472824298383,3,401,21445.77007779097,0.007036962543927457,0.7036962543927456
1,1970s,Cluster 1,Foraging guild,Shrikes,68.23616186930377,0.08508249609638868,2,401,21445.77007779097,0.0031818004959387526,0.31818004959387525
1,1970s,Cluster 1,Foraging guild,Wading birds,46.428127539972664,0.0578904333416118,2,401,21445.77007779097,0.0021649083885336056,0.21649083885336057
1,1970s,Cluster 1,Foraging guild,Orioles,24.891050855623064,0.06207244602399762,1,401,21445.77007779097,0.0011606508306922488,0.11606508306922488
1,1970s,Cluster 1,Foraging guild,Nigthjars,21.51062781383308,0.05364246337614233,1,401,21445.77007779097,0.0010030242670609098,0.10030242670609098
1,1970s,Cluster 1,Foraging guild,Reedlings,20.588506182607528,0.051342908186053686,1,401,21445.77007779097,9.600264344869007e-4,0.09600264344869007
1,1970s,Cluster 1,Foraging guild,Kingfishers,5.536313841426285,0.013806268931237615,1,401,21445.77007779097,2.5815411716829126e-4,0.025815411716829127
1,1970s,Cluster 1,Foraging guild,Dippers,0.8587627034058749,0.0021415528763238773,1,401,21445.77007779097,4.0043453804216674e-5,0.0040043453804216676
1,1970s,Cluster 2,Foraging guild,Foliage gleaners,7009.020788003975,0.8859841724186563,9,879,51968.26746185065,0.13487116523846446,13.487116523846446
1,1970s,Cluster 2,Foraging guild,Tit-like birds,5412.027034337371,0.5130856119015347,12,879,51968.26746185065,0.104140994084713,10.4140994084713
1,1970s,Cluster 2,Foraging guild,Low flycatching feeders,5059.460669176917,0.6395475501424496,9,879,51968.26746185065,0.09735673164188152,9.735673164188153
1,1970s,Cluster 2,Foraging guild,Passerine seedeaters,4764.8752501414865,0.4517325796493643,12,879,51968.26746185065,0.09168816823919193,9.168816823919194
1,1970s,Cluster 2,Foraging guild,Omnivorous corvids,3006.359363233228,0.4886005791050275,7,879,51968.26746185065,0.0578499055301423,5.78499055301423
1,1970s,Cluster 2,Foraging guild,Open-land insectivores,2440.0398312646794,0.4626544996709663,6,879,51968.26746185065,0.046952495252143754,4.6952495252143756
1,1970s,Cluster 2,Foraging guild,Aerial insectivores,2376.101355362249,0.6757967449835754,4,879,51968.26746185065,0.04572215837494524,4.572215837494524
1,1970s,Cluster 2,Foraging guild,Buntings,2318.831573438592,0.879344548137502,3,879,51968.26746185065,0.044620143920341804,4.46201439203418
1,1970s,Cluster 2,Foraging guild,Thrushes,1999.5506114372815,0.5687004014326735,4,879,51968.26746185065,0.03847637624065744,3.8476376240657437
1,1970s,Cluster 2,Foraging guild,Marsh warblers,1800.2867933812345,0.3413513070499104,6,879,51968.26746185065,0.03464203986986493,3.464203986986493
1,1970s,Cluster 2,Foraging guild,Diurnal raptors,1676.4682813671589,0.2724635594615892,7,879,51968.26746185065,0.032259460691042595,3.2259460691042596
