"site","richness_1970s","richness_1990s","delta_richness_1990s_minus_1970s","pct_lnd"
"EG84",76,80,4,38.5567027949315
"EG85",53,84,31,54.1640396202754
"EG88",66,79,13,97.9060476614943
"EG94",90,96,6,92.6634530431786
"EG95",51,66,15,98.8423378607349
"EG96",47,73,26,100
"EG99",52,82,30,100
"EH08",79,67,-12,78.8757345424743
"EH13",60,84,24,36.4915050052731
"EH17",46,71,25,31.2683884456741
"EH23",50,95,45,25.8268068398342
"EH27",81,57,-24,99.9989810020316
"EH37",37,31,-6,41.7522153371239
"EH39",51,79,28,70.5325267096673
"EH49",39,44,5,28.6505274363041
"EH54",34,57,23,35.569869913017
"EH64",48,62,14,96.762216901783
"EH73",47,62,15,52.1623099528966
"EH75",48,88,40,95.0048548990741
"EH88",47,65,18,52.9201004889054
"EH92",32,65,33,43.9128777223096
"EH96",71,72,1,100
"FD02",74,62,-12,66.7862257161482
"FE10",82,65,-17,57.4591655666504
"FE20",75,74,-1,76.947433829683
"FE30",101,105,4,65.834846331667
"FE40",92,75,-17,48.8642347304904
"FE60",69,94,25,50.162563105579
"FE61",59,88,29,89.4323836586423
"FE80",77,76,-1,95.9607381042452
"FE82",87,80,-7,100
"FE83",74,73,-1,67.0721831138885
"FE90",47,69,22,100
"FE91",63,82,19,100
"FF08",55,35,-20,25.8581817708969
"FF10",83,99,16,100
"FF13",62,56,-6,100
"FF14",61,71,10,100
"FF18",73,71,-2,74.4883480456665
"FF19",67,55,-12,39.5116336673613
"FF22",66,88,22,100
"FF23",62,60,-2,100
"FF24",58,60,2,100
"FF25",51,57,6,100
"FF27",58,67,9,96.4887451093807
"FF29",55,56,1,100
"FF30",60,71,11,100
"FF31",63,64,1,100
"FF33",62,54,-8,100
"FF36",53,58,5,90.9256330090149
"FF40",71,76,5,100
"FF41",74,59,-15,100
"FF42",67,52,-15,100
"FF43",70,56,-14,100
"FF46",53,52,-1,54.980214852666
"FF50",63,66,3,100
"FF53",53,57,4,100
"FF54",70,90,20,80.6008728678943
"FF55",53,54,1,36.2075703150992
"FF57",59,65,6,29.9698731801347
"FF62",78,81,3,100
"FF67",48,88,40,91.7931977429937
"FF69",54,84,30,32.4580014429829
"FF70",92,78,-14,100
"FF72",56,64,8,100
"FF73",74,69,-5,100
"FF74",66,71,5,82.4002368649199
"FF75",78,64,-14,44.5704939510572
"FF76",79,79,0,94.3081213603745
"FF78",68,82,14,90.7472602602393
"FF79",70,98,28,66.3603100635503
"FF80",71,87,16,100
"FF81",62,73,11,100
"FF82",59,50,-9,100
"FF83",50,66,16,100
"FF84",57,80,23,71.2109890172687
"FF86",75,95,20,55.172485710291
"FF87",62,72,10,66.0911589419255
"FF89",71,59,-12,73.7817303008405
"FF90",61,78,17,100
"FF91",41,52,11,100
"FF92",37,50,13,100
"FF93",47,56,9,100
"FF95",59,79,20,97.0391639659104
"FF98",48,67,19,100
"FF99",47,65,18,100
"FG04",68,61,-7,89.9795908798529
"FG08",68,75,7,100
"FG09",57,51,-6,100
"FG14",40,70,30,83.6988253066244
"FG18",65,70,5,100
"FG19",56,72,16,100
"FG27",68,67,-1,100
"FG28",81,82,1,100
"FG29",77,79,2,100
"FG37",79,83,4,100
"FG43",89,101,12,51.293234717225
"FG45",64,80,16,100
"FG47",66,70,4,100
"FG48",48,59,11,100
"FG53",63,83,20,91.9159887772465
"FG54",64,75,11,100
"FG56",50,76,26,100
"FG59",55,51,-4,100
"FG60",56,58,2,80.4252482520783
"FG68",50,67,17,100
"FG70",53,74,21,100
"FG75",64,75,11,100
"FG76",72,79,7,100
"FG79",70,64,-6,100
"FG82",59,55,-4,89.4483681807482
"FG85",54,71,17,100
"FG86",73,87,14,100
"FG91",62,75,13,92.115099159523
"FG92",59,88,29,75.7116875538317
"FG93",82,78,-4,35.8924493546135
"FG99",60,63,3,100
"FH01",31,67,36,28.0812309323759
"FH07",31,66,35,26.895333308367
"FH08",35,57,22,34.9265565599351
"FH11",62,75,13,86.34053505194
"FH12",55,56,1,100
"FH14",52,57,5,100
"FH15",54,58,4,99.287622870924
"FH18",36,36,0,27.7034497794332
"FH21",74,76,2,50.457884422936
"FH22",49,52,3,100
"FH23",78,92,14,100
"FH24",73,85,12,100
"FH25",76,64,-12,79.501830032424
"FH29",41,59,18,25.5361781078591
"FH32",84,76,-8,93.5327843646565
"FH33",74,90,16,100
"FH34",55,63,8,100
"FH35",68,53,-15,91.0442852837912
"FH36",59,61,2,35.6946970945645
"FH42",81,74,-7,87.2475125975456
"FH43",64,72,8,100
