"survey","coverage","site","atlas","period","species_richness","raw_species_pool_size","pct_lnd"
"CE45_1","Good","CE45","1","1970s",51,201,100
"CE46_1","Good","CE46","1","1970s",38,201,100
"CE47_1","Good","CE47","1","1970s",55,201,100
"CE48_1","Good","CE48","1","1970s",42,201,100
"CE49_1","Good","CE49","1","1970s",73,201,100
"CE51_1","Good","CE51","1","1970s",85,201,100
"CE52_1","Good","CE52","1","1970s",66,201,100
"CE60_1","Good","CE60","1","1970s",81,201,100
"CE61_1","Good","CE61","1","1970s",60,201,100
"CE62_1","Good","CE62","1","1970s",65,201,100
"CE64_1","Good","CE64","1","1970s",72,201,100
"CE66_1","Good","CE66","1","1970s",50,201,100
"CE67_1","Good","CE67","1","1970s",57,201,100
"CE68_1","Good","CE68","1","1970s",57,201,100
"CE69_1","Good","CE69","1","1970s",48,201,100
"CE70_1","Good","CE70","1","1970s",58,201,100
"CE71_1","Good","CE71","1","1970s",57,201,100
"CE72_1","Good","CE72","1","1970s",84,201,100
"CE74_1","Good","CE74","1","1970s",54,201,100
"CE75_1","Good","CE75","1","1970s",55,201,100
"CE76_1","Good","CE76","1","1970s",48,201,100
"CE77_1","Good","CE77","1","1970s",56,201,100
"CE78_1","Good","CE78","1","1970s",65,201,100
"CE79_1","Good","CE79","1","1970s",60,201,100
"CE80_1","Good","CE80","1","1970s",68,201,100
"CE81_1","Good","CE81","1","1970s",75,201,100
"CE82_1","Good","CE82","1","1970s",74,201,100
"CE84_1","Good","CE84","1","1970s",53,201,100
"CE85_1","Good","CE85","1","1970s",51,201,100
"CE86_1","Good","CE86","1","1970s",56,201,100
"CE87_1","Good","CE87","1","1970s",55,201,100
"CE88_1","Good","CE88","1","1970s",70,201,100
"CE89_1","Good","CE89","1","1970s",45,201,100
"CE90_1","Good","CE90","1","1970s",69,201,100
"CE91_1","Good","CE91","1","1970s",76,201,100
"CE92_1","Good","CE92","1","1970s",71,201,100
"CE97_1","Good","CE97","1","1970s",54,201,100
"CE99_1","Good","CE99","1","1970s",51,201,100
"CF00_1","Good","CF00","1","1970s",69,201,100
"CF03_1","Good","CF03","1","1970s",57,201,100
"CF04_1","Good","CF04","1","1970s",57,201,100
"CF07_1","Good","CF07","1","1970s",49,201,100
"CF10_1","Good","CF10","1","1970s",70,201,100
"CF13_1","Good","CF13","1","1970s",76,201,100
"CF14_1","Good","CF14","1","1970s",56,201,100
"CF15_1","Good","CF15","1","1970s",58,201,100
"CF16_1","Good","CF16","1","1970s",47,201,100
"CF17_1","Good","CF17","1","1970s",41,201,100
"CF18_1","Good","CF18","1","1970s",48,201,100
"CF19_1","Good","CF19","1","1970s",62,201,100
"CF23_1","Good","CF23","1","1970s",57,201,100
"CF28_1","Good","CF28","1","1970s",42,201,100
"CF29_1","Good","CF29","1","1970s",62,201,100
"CF30_1","Good","CF30","1","1970s",58,201,100
"CF32_1","Good","CF32","1","1970s",62,201,100
"CF33_1","Good","CF33","1","1970s",73,201,100
"CF34_1","Good","CF34","1","1970s",74,201,100
"CF35_1","Good","CF35","1","1970s",68,201,100
"CF38_1","Good","CF38","1","1970s",56,201,100
"CF39_1","Good","CF39","1","1970s",53,201,100
"CF40_1","Good","CF40","1","1970s",66,201,100
"CF41_1","Good","CF41","1","1970s",60,201,100
"CF42_1","Good","CF42","1","1970s",38,201,100
"CF43_1","Good","CF43","1","1970s",54,201,100
"CF44_1","Good","CF44","1","1970s",63,201,100
"CF45_1","Good","CF45","1","1970s",62,201,100
"CF49_1","Good","CF49","1","1970s",71,201,100
"CF50_1","Good","CF50","1","1970s",72,201,100
"CF51_1","Good","CF51","1","1970s",76,201,100
"CF52_1","Good","CF52","1","1970s",56,201,100
"CF54_1","Good","CF54","1","1970s",66,201,100
"CF55_1","Good","CF55","1","1970s",62,201,100
"CF58_1","Good","CF58","1","1970s",52,201,100
"CF59_1","Good","CF59","1","1970s",65,201,100
"CF60_1","Good","CF60","1","1970s",74,201,92.0834828807869
"CF61_1","Good","CF61","1","1970s",61,201,100
"CF62_1","Good","CF62","1","1970s",51,201,100
"CF64_1","Good","CF64","1","1970s",68,201,99.6167626252403
"CF65_1","Good","CF65","1","1970s",61,201,100
"CF69_1","Good","CF69","1","1970s",66,201,100
