bioregion,species,expected_occurrence_sum,expected_occurrence_share,n_sites,mean_predicted_probability,rank_in_cluster,thermal_group,migratory_strategy,foraging_guild,species_thermal_index,species_label
Cluster 1,Anarhynchus_alexandrinus,23.298064065941237,0.001086371064383856,401,0.05809991038888089,117,very warm,short-and long-distance,Plovers,16.3071703744,Anarhynchus alexandrinus
Cluster 1,Coccothraustes_coccothraustes,21.623744019301846,0.001008298789964888,401,0.053924548676563204,118,warm,sedentary,Passerine seedeaters,12.9763477132,Coccothraustes coccothraustes
Cluster 1,Caprimulgus_europaeus,21.51062781383308,0.0010030242670609093,401,0.05364246337614234,119,very warm,long-distance,Nigthjars,13.110333547,Caprimulgus europaeus
Cluster 1,Asio_flammeus,21.205143666657055,9.887797728754392e-4,401,0.05288065752283555,120,very cold,sedentary and short-distance,Owls,9.6200242401,Asio flammeus
Cluster 1,Spinus_spinus,20.763897924528585,9.682048184425638e-4,401,0.051780294076131134,121,very cold,sedentary and short-distance,Passerine seedeaters,10.2425165856,Spinus spinus
Cluster 1,Panurus_biarmicus,20.588506182607528,9.600264344869002e-4,401,0.051342908186053686,122,very warm,sedentary,Reedlings,13.8780278318,Panurus biarmicus
Cluster 1,Botaurus_stellaris,20.088017117757833,9.366890088298007e-4,401,0.05009480577994472,123,very warm,sedentary and short-distance,Wading birds,13.1076210929,Botaurus stellaris
Cluster 1,Acrocephalus_arundinaceus,20.018131360025432,9.334302889293773e-4,401,0.04992052708235768,124,very warm,long-distance,Marsh warblers,13.8793523116,Acrocephalus arundinaceus
Cluster 1,Charadrius_dubius,19.29089265766953,8.995196995815497e-4,401,0.04810696423358985,125,warm,short-and long-distance,Plovers,12.7729324864,Charadrius dubius
Cluster 1,Phoenicurus_ochruros,18.523821231059575,8.637517405002236e-4,401,0.04619406790787924,126,very warm,sedentary and short-distance,Low flycatching feeders,13.2394438706,Phoenicurus ochruros
Cluster 1,Chlidonias_niger,17.764271503003474,8.283345125200223e-4,401,0.044299928935170756,127,very warm,long-distance,Terns,13.0082465521,Chlidonias niger
Cluster 1,Circus_pygargus,17.567821381402982,8.19174192284941e-4,401,0.043810028382551075,128,very warm,long-distance,Diurnal raptors,13.6904029809,Circus pygargus
