survey,beta_turnover,site,X,Y,tmean_breeding,prec_breeding,hh,perc_urban,perc_cropland,perc_pasture,perc_forest,perc_grass_shrub,local_i,local_p,local_cluster,global_moran_i,global_moran_p,atlas,period
BF62_1,0.1817173003847256,BF62,482500.07425727736,6162499.852593689,8.4664102114866,143.946644356749,0.167834719775446,0.072340175202444,0.909170121679569,0,0.0184897031179872,0,-0.041841234166005645,1.275063902495878e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF63_1,0.2081262091184621,BF63,482500.0517386565,6167499.781888844,8.4773182922485,143.305571090078,0.446395343390145,0.0803028948992188,0.724483271235164,0,0.057789151600987,0.13742468226463,-0.015102951016003016,1.7165374997060265e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BC11_1,0.3885293322393361,BC11,457500.0287272008,6307499.784091797,8.33515191154878,141.498078077144,0.546799254461468,0,0,0.257758363356234,0,0.0969945417455595,0.26739079378037134,6.967051284730136e-6,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF64_1,0.2189599355650315,BF64,482500.08626133483,6172499.7478915425,8.49120872480745,143.475984693469,0.331709717396311,0.101485521329021,0.806442455780203,0,0.0858537767706783,0.00621824612009698,-0.004309460467408727,3.657894305915275e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF65_1,0.2004242253226855,BF65,482500.0522818646,6177499.751086633,8.45569554336454,143.53742158276,0.0475230356212208,0.0243546676467962,0.975645332353204,0,0,0,-0.022132900584777255,2.28219617698408e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF67_1,0.24013387631202932,BF67,482500.09339765523,6187499.756401075,8.45668696263172,141.787676548391,0.558059620283323,0,0.61811138948379,0.10169336714906,0.209989173748555,0.0702060696185938,0.016540919195294292,6.300717814769436e-6,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF68_1,0.22481934256159986,BF68,482500.106118653,6192499.758727317,8.50841142554902,142.304462632257,0.723171037960932,0,0.372876651355767,0.271968370922764,0.1951117118184,0.160043265903068,0.0011520115389176476,2.5750517725447504e-5,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF69_1,0.2684361959951972,BF69,482500.11408775987,6197499.797900253,8.51057040657966,145.244848812936,0.432564805262007,0,0.00682479642481433,0.615904922985227,0.0243546676463047,0.352915612943654,0.03667863293209448,1.7345559638019123e-4,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF70_1,0.25687551245130175,BF70,487500.0613181969,6152499.826749672,8.51113401006008,146.929761538092,0.182098593954428,0.0730640030207764,0.900790628865449,0,0,0.0261453681137752,0.029162489962791905,5.58126293872148e-5,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF71_1,0.19574020975392298,BF71,487500.03120470024,6157499.875939318,8.514784840834,145.102428551889,0.0675026906852532,0.0243546676746953,0.965258698944954,0,0,0.0103866333803505,-0.02495599851825776,4.229845532585433e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF72_1,0.18732858302487587,BF72,487500.0414117519,6162499.85063891,8.46845583396106,146.193585427494,0.409304379363421,0.146128006041228,0.750712905911893,0,0.0666038686502529,0.0365552193966265,-0.034112937711372714,1.6475764097121635e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF73_1,0.22030746990693892,BF73,487500.02902736043,6167499.751005261,8.45054353252094,146.886946039884,0.521999162811158,0.14612800605019,0.660109701156122,0,0.128376334393904,0.0653859583997843,-0.003161502066670468,7.368292245509549e-6,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BC20_1,0.19856728225647322,BC20,462500.0832758646,6302499.782276433,8.33884311995448,134.693639481393,0.75369206484551,0.00543142722909764,0.229882244893078,0.0543837498299692,0.353208044589856,0.202912706972045,-0.039178392857409726,1.0889055242576805e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF75_1,0.30465634436293704,BF75,487500.06427121063,6177499.773449097,8.46413644426017,146.009180656815,0.137823908318757,0.0487093353479663,0.92693599697805,0,0,0.0243546676739832,0.06938297932624277,4.493170475886393e-5,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF76_1,0.2277936538533074,BF76,487500.0490462398,6182499.784371457,8.47141698436037,145.227802040394,0.0920445319791004,0,0.952074854521715,0,0.0158440836821712,0.0320810617961134,0.0037197806660623878,3.2090963963991704e-5,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF77_1,0.23824452792421777,BF77,487500.0746598672,6187499.7206850415,8.47424418389072,144.830854626715,0.546539525218014,0,0.0193291856308403,0.117498641799179,0.605004853292346,0.258167319277636,0.01327855388676463,1.631190268149777e-5,High-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF78_1,0.20980483378815273,BF78,487500.07920825994,6192499.805137645,8.46916325769003,147.662566599016,0.511873057877441,0,0.651103123540775,0.0157988168639518,0.101491734393366,0.231606325201907,-0.012043295315113894,3.090125229658525e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF79_1,0.20017814121223804,BF79,487500.06227952236,6197499.815116662,8.49705226372692,145.871391295105,0.567950923973362,0.194837341388061,0.612485341730921,0.122674605570344,0.00813370114878509,0.0618690101618893,-0.019861632414295376,4.9251652155395374e-5,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF80_1,0.17969273664852642,BF80,492500.0457424066,6152499.90235705,8.47359987069911,148.173841188733,0.186960239543542,0.104374065273485,0.895625934726515,0,0,0,-0.033474837404602206,2.5778217318841523e-4,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF81_1,0.20882227422352845,BF81,492500.0575680637,6157499.820932193,8.4405882301137,151.709074112984,0.503157041140341,0.0487093355353095,0.651753196235906,0,0.261184135319058,0.038353332909726597,-0.010773139453304272,3.78437400668126e-4,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
BF82_1,0.21696053678970523,BF82,492500.03082487086,6162499.776445566,8.40618962285721,150.70338416013,0.69489039980811,0,0.162064439779755,0.191682184859327,0.432611862512223,0.213641512848694,-0.004954993551568219,2.4312935276554396e-4,Low-high,0.012682175932510887,8.074031972407227e-167,1,1970s
