atlas,survey,beta_turnover,site,X,Y
1,DC45_1,0.23896761073615025,DC45,572499.6797881541,6327499.928359153
1,BD31_1,0.21729684799295426,BD31,467500.0543298067,6257499.600372754
1,DC48_1,0.23529764989729826,DC48,572499.603288505,6342499.944623605
1,DC49_1,0.25593284997809945,DC49,572499.6280012622,6347499.879714389
1,DC50_1,0.30593055987093737,DC50,577499.8267759397,6302500.006971771
1,DC51_1,0.2857187389200021,DC51,577499.8137447787,6307500.007805302
1,DC52_1,0.46696659277185465,DC52,577499.834045176,6312500.04834203
1,DC53_1,0.18709171763987456,DC53,577499.7670313121,6317500.014979401
1,BD32_1,0.25667180656315003,BD32,467500.06232946395,6262499.710226541
1,DC56_1,0.2132288494078413,DC56,577499.6899038834,6332500.0401362395
1,DC57_1,0.1975930965203253,DC57,577499.6237474973,6337499.940236413
1,DC58_1,0.23099782495966792,DC58,577499.5821444269,6342499.991146208
1,DC59_1,0.2015798562679805,DC59,577499.5701581707,6347499.85890772
1,DC64_1,0.360528399502765,DC64,582499.7765719168,6322500.023200316
1,DC65_1,0.19792070080966273,DC65,582499.6844180265,6327500.009486454
1,DC69_1,0.18432032604992615,DC69,582499.5463454451,6347499.907984794
1,DC79_1,0.1986624828991288,DC79,587499.5162126686,6347499.914135292
1,DC89_1,0.20699913176410997,DC89,592499.4952561076,6347499.988268283
1,DD00_1,0.19940872402877494,DD00,552499.8856748668,6252499.714341889
1,DD01_1,0.21148204176320748,DD01,552499.8788040339,6257499.789576381
1,DD02_1,0.2584714960776685,DD02,552499.8180619746,6262499.790504193
1,DD03_1,0.17343903100386363,DD03,552499.8245235039,6267499.829924205
1,DD04_1,0.1894216776543093,DD04,552499.8372124677,6272499.79574306
1,DD05_1,0.2030447052201341,DD05,552499.7926802624,6277499.7984718
1,DD06_1,0.18681372375814725,DD06,552499.8129379287,6282499.83961058
1,DD07_1,0.1920183558587219,DD07,552499.8372333928,6287499.807062139
1,DD08_1,0.2080779304945752,DD08,552499.8023283664,6292499.811338297
1,DD09_1,0.2636842593411817,DD09,552499.8297948928,6297499.853941188
1,DD10_1,0.18231386058287055,DD10,557499.856180533,6252499.733037651
1,DD11_1,0.23071403619320896,DD11,557499.8762522964,6257499.80687196
1,BD35_1,0.30781020427024924,BD35,467500.0749060298,6277499.704398919
1,DD12_1,0.19567216887688949,DD12,557499.8255147779,6262499.806363893
1,DD13_1,0.19834105186344433,DD13,557499.8249050891,6267499.844455846
1,DD14_1,0.1989996576592521,DD14,557499.8135712934,6272499.808981645
1,DD16_1,0.1896925223534849,DD16,557499.812499,6282499.851962599
1,DD17_1,0.18449484727206986,DD17,557499.8226555676,6287499.819056403
1,DD18_1,0.21140955271052186,DD18,557499.815944289,6292499.935076535
1,DD19_1,0.2091139809763431,DD19,557499.7962017705,6297499.866076322
1,DD20_1,0.19103254058095875,DD20,562499.8979436193,6252499.742285932
1,DD21_1,0.1888726319932508,DD21,562499.8222470335,6257499.8229469415
1,BD36_1,0.21007590355399322,BD36,467500.0370856172,6282499.739297631
1,DD22_1,0.2237918502648236,DD22,562499.8437607648,6262499.831936724
1,DD24_1,0.27147676121805564,DD24,562499.8019624483,6272499.851935544
1,DD26_1,0.21292980650460794,DD26,562499.825335824,6282499.914256911
1,DD27_1,0.21668032214075122,DD27,562499.8219761638,6287499.891081318
1,DD28_1,0.17732542058407572,DD28,562499.7860176418,6292499.905539777
1,DD29_1,0.19610526035448855,DD29,562499.8388001381,6297499.959425464
1,DD30_1,0.17991508693651806,DD30,567499.9045343413,6252499.740139163
1,DD31_1,0.211449665426821,DD31,567499.8570273767,6257499.839340627
1,BD37_1,0.2116079523178059,BD37,467500.0506595336,6287499.810571126
1,DD35_1,0.2344713327580282,DD35,567499.839200209,6277499.844712948
1,DD37_1,0.18255544513384733,DD37,567499.854039139,6287499.911641263
1,DD38_1,0.23420884095606087,DD38,567499.8490636005,6292499.946900631
1,DD39_1,0.21114315720133733,DD39,567499.7951241602,6297499.908455915
1,DD40_1,0.26669478057799756,DD40,572499.8910228461,6252499.837507532
1,DD41_1,0.17203585809979466,DD41,572499.874319164,6257499.853998432
1,BD38_1,0.2875109944176509,BD38,467500.0539126969,6292499.807359152
1,DD42_1,0.19903347969548982,DD42,572499.8594056569,6262499.798046281
1,DD43_1,0.16874359694051844,DD43,572499.8414943474,6267499.892215765
1,DD46_1,0.20578503769988138,DD46,572499.840314927,6282499.96321855
1,DD47_1,0.17576143039215902,DD47,572499.8119906547,6287499.989774233
1,DD48_1,0.21624422234617927,DD48,572499.8407176494,6292499.944752331
1,DD49_1,0.21579926625332074,DD49,572499.8623283049,6297499.938366378
1,DD50_1,0.19109843426218065,DD50,577499.9397466873,6252499.812573781
1,DD51_1,0.2013352085040396,DD51,577499.8911025693,6257499.866573606
1,BD39_1,0.2388796754047443,BD39,467500.0473273079,6297499.729633846
1,DD52_1,0.2074378607409075,DD52,577499.8890167333,6262499.849300526
1,DD53_1,0.21447555583857436,DD53,577499.8687690438,6267499.87089236
