survey,richness,site,X,Y,tmean_breeding,prec_breeding,hh,perc_urban,perc_cropland,perc_pasture,perc_forest,perc_grass_shrub,local_i,local_p,local_cluster,global_moran_i,global_moran_p,atlas,period
DG36_2,49.683848389899005,DG36,567500.0926647738,6132499.924840984,8.21955370033745,193.32497391941,0,0,1,0,0,0,0.01963236753130562,0.4274900801342783,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG37_2,63.68353166745308,DG37,567500.1069042278,6137499.875061364,8.2566750333415,189.637803681,0.556616870555578,0.201479799012571,0.619954671413125,0.0608866691365733,0.117678860437731,0,-0.004929489396748962,0.36802845985607435,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG38_2,53.56700050442312,DG38,567500.0944806039,6142499.975064417,8.19949798665839,194.268571648168,0.422100298290953,0.0799598235895933,0.734815803326718,0,0.177170754613537,0.00805361847015163,0.018171698274633573,0.2480527309566753,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG39_2,45.312226678277796,DG39,567500.0597612784,6147499.890981247,8.3526315966677,187.955855520279,0.111639983770244,0.0523157984933019,0.941040502768881,0,0.00161836759571794,0.00502533114209877,0.035763059550052,0.25978447441989727,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG41_2,66.67863303792802,DG41,572500.1270477285,6107499.844195573,8.56788859247802,192.912314548722,0.659944673764606,0.161876329032784,0.459003082081186,0,0,0.0644576555508024,-0.014539544182545066,0.3007454820996436,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG42_2,63.18480949538519,DG42,572500.1240832573,6112499.841285639,8.62000075774998,187.841591757003,0.604063971465426,0.127033161636087,0.10105403388198,0.0913300063838942,0.0593649844824743,0,-0.00427830316555051,0.3948069855980929,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG43_2,59.70001022015669,DG43,572500.0844316228,6117499.87702596,8.42109329840239,197.061987605461,0.515056094895275,0.200592188891352,0.662912000415577,0,0.0404787154118025,0.0249453799271483,0.003465254520184104,0.3130651967257537,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG44_2,61.31245696611864,DG44,572500.1345045101,6122499.95346573,8.4382545396618,185.497655643481,0.285542990307796,0.165615911431124,0.828840857597955,0,0,0.00554323097092088,-2.2042140023087033e-4,0.5762481477446333,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG45_2,66.19976129771447,DG45,572500.0844221165,6127499.956186771,8.25302821633974,188.096001186663,0.526352731439532,0.197783301488935,0.640385681809949,0,0.156114070930097,0.0057169457710188,-0.0029405653215816095,0.8028702277445736,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG46_2,53.544198392180554,DG46,572500.123968225,6132499.888275696,8.13565327095005,191.809110485191,0.521723212189056,0.0969173688059206,0.646822151593758,0,0.219728477044845,0.0365320025554763,0.005628211046751971,0.7297368436936242,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG47_2,75.04345468625625,DG47,572500.1215920995,6137499.970183186,8.12879996688076,195.613042352142,0.429604406807834,0.312389241790129,0.687610758209871,0,0,0,-0.016600550629417406,0.5927072575988441,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
DG48_2,73.87966245592553,DG48,572500.0801946897,6142499.979324352,8.14838479579876,187.435921552736,0.345915526629122,0.040844788063456,0.798391802247609,0,0.0847087265598223,0.0760546831291123,-0.01729276241385502,0.5306055775469836,Not significant,0.04473625550928367,8.084712317106615e-238,2,1990s
