response,atlas,period,bandwidth,bandwidth_value,model_id,model_type,predictor,model_label,survey,site,X,Y,observed,fitted,residual,coefficient,local_se,local_t,abs_local_t,local_r2,supported,direction
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG57_2,BG57,477500.0412068564,6137499.9440165525,44.41953910945916,61.15512136879703,-16.735582259337875,5.339680358992988,0.6242164682371949,8.554212569995785,8.554212569995785,0.23401276998677145,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG58_2,BG58,477500.0244174642,6142499.837590013,75.61812780087864,59.80523521368154,15.812892587197098,5.170206406046573,0.6159519247557975,8.393847308937904,8.393847308937904,0.23317472803856443,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG59_2,BG59,477500.0804408138,6147499.879212277,46.248429459778045,55.20860388183098,-8.960174422052937,4.985433342625569,0.6090322097665284,8.185828701140007,8.185828701140007,0.23178554787620254,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG60_2,BG60,482499.9798820725,6102499.8077321,56.93883875447742,50.75156631824568,6.187272436231744,6.185767281898244,0.7134424027835979,8.670310676466082,8.670310676466082,0.23667622640995944,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG61_2,BG61,482499.98409018014,6107499.848415741,48.77858110907638,61.184101183142154,-12.405520074065777,6.083553470237431,0.6932449351527088,8.775474816700015,8.775474816700015,0.23529427347930684,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG62_2,BG62,482499.97930829576,6112499.815047499,59.60653959657105,64.133768023138785,-4.5272284265677385,5.969217854651685,0.6746056525819075,8.848455140874957,8.848455140874957,0.2341495012849425,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG63_2,BG63,482500.02986176877,6117499.818634525,54.19008948778752,65.42076560470332,-11.230676116915802,5.845735030878396,0.6575180882637024,8.890607171454608,8.890607171454608,0.23322120926167145,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG64_2,BG64,482500.00862455415,6122499.859659715,63.56218654775417,59.55816359999507,4.004022947759104,5.715674939041105,0.6420519674131346,8.902199867200622,8.902199867200622,0.23239529693798983,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG65_2,BG65,482500.0426166273,6127499.826312609,71.64267282354307,59.97975997060655,11.662912852936515,5.577640288336797,0.6282811269611486,8.877618710774524,8.877618710774524,0.23158827815037644,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG66_2,BG66,482500.00588300487,6132499.941644865,70.82270734356119,60.919123386293215,9.903583957267976,5.431479415824768,0.6164568897944351,8.810801705267597,8.810801705267597,0.2306974195682252,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG67_2,BG67,482500.02427016397,6137499.871273607,55.092457019021914,54.046956676830504,1.04550034219141,5.274477992366537,0.6064762893159539,8.696923664263336,8.696923664263336,0.22968713718690803,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG68_2,BG68,482500.03539951664,6142499.837998828,57.27193825122164,50.59261703563496,6.679321215586683,5.1025063708007234,0.5980259796197687,8.532248672616115,8.532248672616115,0.2283634365671091,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG69_2,BG69,482500.039511587,6147499.841798756,45.87528311365273,57.44855937179828,-11.573276258145555,4.917882016221412,0.5909079993104288,8.322584940397535,8.322584940397535,0.22658764166903653,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG70_2,BG70,487500.0348421291,6102499.812978593,57.29369849406299,50.239391100002535,7.0543073940604515,6.134205940597015,0.6997452641922914,8.766341488109482,8.766341488109482,0.23443419423203218,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG71_2,BG71,487499.98586005956,6107499.825717422,47.13821395979149,50.79215775136017,-3.653943791568679,6.029250882147572,0.6791759878326632,8.877302775953074,8.877302775953074,0.23279088005290863,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG72_2,BG72,487500.04020037403,6112499.875297073,53.78775929136055,54.454176683287116,-0.666417391926565,5.913022201639812,0.6600958050503378,8.957824237633043,8.957824237633043,0.23138437379264395,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG73_2,BG73,487500.0064094621,6117499.850954274,71.59978697396974,58.65166099638337,12.948125977586372,5.788850070655494,0.6425981336024362,9.008507444929727,9.008507444929727,0.23018196261006785,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG74_2,BG74,487500.0124000873,6122499.863588602,56.08204172231527,53.84016746988901,2.241874252426257,5.657907789848915,0.6268448019984891,9.02601054010583,9.02601054010583,0.22903749959116534,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG75_2,BG75,487500.058190043,6127499.913178598,63.704365644543344,54.57775532258103,9.126610321962318,5.518108462547739,0.6128391310345437,9.004171214120303,9.004171214120303,0.22786902678470425,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG76_2,BG76,487500.01661631186,6132499.888778622,68.06440827422425,63.100972908347835,4.963435365876414,5.369694325356409,0.6007871775643672,8.937764529405442,8.937764529405442,0.22659826879611517,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG77_2,BG77,487500.0151634949,6137499.901289857,55.193906940775705,48.64559140354638,6.548315537229321,5.2110025374986115,0.5905651157123344,8.823756092015605,8.823756092015605,0.22516222179966056,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG78_2,BG78,487500.05353123834,6142499.839403261,43.695947613894624,54.49177118430188,-10.795823570407258,5.040037918008853,0.5818828516906251,8.661602422833617,8.661602422833617,0.2234776403120331,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG79_2,BG79,487500.069157074,6147499.925851864,65.09132063215823,54.648843785785004,10.442476846373225,4.859187510415605,0.5745996178400266,8.45664939472418,8.45664939472418,0.22143388802396613,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG80_2,BG80,492500.05033699406,6102499.744442296,43.43483751613288,55.9380778583711,-12.503240342238222,6.080161310040925,0.6873035783716802,8.846398449496933,8.846398449496933,0.23181033215598185,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG81_2,BG81,492500.01211780054,6107499.849601752,43.17669156090751,59.1869596449459,-16.010268084038394,5.973636547301682,0.6663783004893613,8.964332336324404,8.964332336324404,0.22994190278470147,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG82_2,BG82,492500.06132339203,6112499.880421333,58.480288978311535,63.26856696125597,-4.788277982944436,5.857126098887583,0.646901433907311,9.054124464542152,9.054124464542152,0.2283132067791032,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG83_2,BG83,492500.0068079907,6117499.837203838,56.00011138278706,57.7544190480543,-1.7543076652672411,5.733335491847109,0.6291136212386534,9.113354564726832,9.113354564726832,0.22687783356276953,TRUE,Positive
richness,2,1990s,fixed_100km,100000,hh,single_predictor,hh,Land-use heterogeneity,BG84_2,BG84,492500.03992750257,6122499.830883491,54.08097621678542,44.86113429685945,9.219841919925976,5.601932654192572,0.613109209742596,9.136924654164718,9.136924654164718,0.2254650101846854,TRUE,Positive
