Species,atlas,period,PC1,PC2
Crex_crex,2,1990s,0.09917469485018861,-0.001677705847344904
Cuculus_canorus,2,1990s,0.10847058771410623,0.14235370075346548
Curruca_communis,2,1990s,0.013330283543330096,-0.165384461728634
Curruca_curruca,2,1990s,-0.04611696096991752,-0.1838647601798047
Cyanistes_caeruleus,2,1990s,0.38814597450770727,-0.17570725169801465
Cygnus_olor,2,1990s,-0.20135536215100724,0.02437702196219991
Delichon_urbicum,2,1990s,0.31032962951206383,0.027316966722127523
Dendrocopos_major,2,1990s,0.5084057948123535,-0.15369417182825132
Dryobates_minor,2,1990s,0.15082198327090168,-0.11123512166966344
Dryocopus_martius,2,1990s,0.2525173330885711,-0.30465884189309833
Emberiza_calandra,2,1990s,0.1709569683811808,-0.0012185954397281146
Emberiza_citrinella,2,1990s,0.07805949358767067,-0.2752400795518995
Emberiza_schoeniclus,2,1990s,-0.19565118253152278,0.06359480209690246
Erithacus_rubecula,2,1990s,0.30390343286981525,-0.10269641165147017
Falco_tinnunculus,2,1990s,0.23894257789000395,0.0025257890742747097
Ficedula_hypoleuca,2,1990s,0.2117035108050533,-0.23287487669444837
Ficedula_parva,2,1990s,3.578074839661371e-4,-0.04667614101906383
Fringilla_coelebs,2,1990s,0.3491873203767154,-0.11112117700713062
Fulica_atra,2,1990s,0.24492772998585985,-0.21509860613417456
Gallinago_gallinago,2,1990s,-0.08335112241056959,0.15376246607055483
Gallinula_chloropus,2,1990s,0.28335217036042315,-0.16805409840724894
Garrulus_glandarius,2,1990s,0.46073462208889715,-0.03295705989413957
Haematopus_ostralegus,2,1990s,-1.0322136608844263,-0.05959512257194382
Hippolais_icterina,2,1990s,0.04665346877838589,0.02927218083217739
Hirundo_rustica,2,1990s,0.26956794880384033,0.09309567316043371
Jynx_torquilla,2,1990s,0.09406709555962649,0.03774117007929319
Lanius_collurio,2,1990s,0.05701208407234005,0.11601908578985229
Lanius_excubitor,2,1990s,0.006005669229867249,0.1117000699367774
Larus_argentatus,2,1990s,-0.948709717132387,-0.3503221236696581
Larus_canus,2,1990s,-0.6771856963808759,-0.010711718930048858
Larus_fuscus,2,1990s,-1.1432608315010615,-0.5277622674121976
Larus_marinus,2,1990s,-1.2887781355633763,-0.31852296824057524
Limosa_limosa,2,1990s,-0.6089232476884857,0.4002637935976728
Linaria_cannabina,2,1990s,-0.10609985553182166,-0.0763576933977713
Locustella_luscinioides,2,1990s,-0.2600545119012074,0.10067980098455033
Locustella_naevia,2,1990s,0.2459297268402097,0.02838121506565172
Lophophanes_cristatus,2,1990s,0.21872034221288833,0.0015478863530618843
Loxia_curvirostra,2,1990s,0.3231910083979296,-0.008233732621438752
Lullula_arborea,2,1990s,0.15795564014340083,-0.008221413027672698
Luscinia_luscinia,2,1990s,0.2821057558416452,-0.37778116901784575
Mareca_strepera,2,1990s,-0.5235000995024897,0.3457645786915648
Mergus_merganser,2,1990s,-0.5338808709362733,0.17995210390798755
Mergus_serrator,2,1990s,-1.1959380514143088,-0.1512349424932047
Motacilla_alba,2,1990s,0.12185312654162246,0.04194210664363157
Motacilla_cinerea,2,1990s,0.42652689376809655,0.1252786717582397
Motacilla_flava,2,1990s,-0.405634095381197,0.06902693240966974
Muscicapa_striata,2,1990s,0.22947193408352964,0.0806333888580502
Numenius_arquata,2,1990s,-0.19490157730748453,0.25501519203540296
Oenanthe_oenanthe,2,1990s,-0.1327495628089789,-0.07462107601746201
Oriolus_oriolus,2,1990s,-0.49138474515259717,0.03370282162849377
Panurus_biarmicus,2,1990s,-0.49850152853349783,-0.0704136552576188
Parus_major,2,1990s,0.452412668083946,-0.2636983675262043
Passer_domesticus,2,1990s,0.3710374254559203,-0.01306446187217644
Passer_montanus,2,1990s,0.31632312850843913,-0.07201596881347157
Perdix_perdix,2,1990s,0.20647455181357777,-0.19006515264006407
